################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -2.7345929739553583E+00 a       116     0     8     1    11
  1.8227816088649978E-01 a       117     0     8     1    12
  2.2105931599950916E+00 a       118     0     8     1    13
  1.2116679239526187E+00 a       119     0     8     1    14
 -3.8212068013316025E-01 a       120     0     8     1    15
 -1.5658639650870354E+00 a       121     0     9     1     1
  1.0789013365196081E+00 a       122     0     9     1     2
 -1.7342186450183721E+00 a       123     0     9     1     3
 -6.7778170993275183E-02 a       124     0     9     1     4
 -8.8530339064632785E-02 a       125     0     9     1     5
 -5.2107875730116560E-01 a       126     0     9     1     6
  1.1983822520992767E-01 a       127     0     9     1     7
  1.5033592857059383E-01 a       128     0     9     1     8
 -2.4575490742510713E+00 a       129     0     9     1     9
  6.6245423580780050E-01 a       130     0     9     1    10
 -4.2340108195700843E+00 a       131     0     9     1    11
 -1.0055392096577171E+00 a       132     0     9     1    12
  1.6277327782959641E+00 a       133     0     9     1    13
  2.6975642414828160E-01 a       134     0     9     1    14
 -1.6734366289942577E+00 a       135     0     9     1    15
 -2.5579485616675237E+00 a       136     0    10     1     1
  1.0773448957684908E+00 a       137     0    10     1     2
 -1.0232072953555751E+00 a       138     0    10     1     3
  1.7823224739908117E-01 a       139     0    10     1     4
 -3.1389106714698545E-01 a       140     0    10     1     5
 -2.1351450535440827E-01 a       141     0    10     1     6
  1.3627053981507689E+00 a       142     0    10     1     7
  2.1779206865531555E+00 a       143     0    10     1     8
 -1.0898627827720309E+00 a       144     0    10     1     9
 -1.6916662739211333E-01 a       145     0    10     1    10
 -1.5375167494513982E+00 a       146     0    10     1    11
  5.7070272167013839E-02 a       147     0    10     1    12
  1.5257824441301278E+00 a       148     0    10     1    13
 -2.9695215263794766E-01 a       149     0    10     1    14
 -9.1845702488768410E-01 a       150     0    10     1    15
  1.4950407388215656E-01 a       151     0    11     1     1
  1.1581657072145257E+00 a       152     0    11     1     2
 -1.7838484019694618E+00 a       153     0    11     1     3
  3.5118327248120851E-01 a       154     0    11     1     4
 -1.9608662261206056E-01 a       155     0    11     1     5
 -2.2880540302847852E+00 a       156     0    11     1     6
 -1.1956677626171117E+00 a       157     0    11     1     7
  1.3191709025309424E+00 a       158     0    11     1     8
 -2.7800635232854463E+00 a       159     0    11     1     9
  1.1884292111393289E+00 a       160     0    11     1    10
 -3.4647706756701138E+00 a       161     0    11     1    11
 -1.5559525059724550E+00 a       162     0    11     1    12
 -8.6973127176832843E-01 a       163     0    11     1    13
 -7.2782833865296603E-01 a       164     0    11     1    14
 -9.6368336091357620E-01 a       165     0    11     1    15
 -1.2228353403472869E-01 a       166     0    12     1     1
 -3.2162136651327340E-02 a       167     0    12     1     2
  1.3326053993504927E-01 a       168     0    12     1     3
  1.8222019979241685E-01 a       169     0    12     1     4
  2.1544280370884691E-01 a       170     0    12     1     5
