1 1   2.7713348310186947E-01   8.5930462214477865E-01   4.7224858698915750E-01   5.2983565376332462E-02
1 2   8.6132703350359763E-01   2.0135818559557777E+00   1.5384886047930140E+00   1.0889973394344382E-01
1 3   1.5899089317772208E-01   6.5141764208842323E-01   2.8412109954230164E-01   4.1725806482388557E-02
1 4   5.8158583561793131E-01   1.5116342733530728E+00   1.1436437434498472E+00   8.7908782489793599E-02
1 5   8.6407593212288872E-02   4.9636065000705187E-01   1.6348148273646282E-01   3.3001001729211776E-02
1 6   3.7451868350111361E-01   1.1318521097221124E+00   8.5230824059106980E-01   7.1330648957155768E-02
1 7   3.3407258446975306E-02   3.4639011215227344E-01   7.3050849406141816E-02   2.3975268691972605E-02
1 8   2.0712134889575071E-01   7.8718410488697166E-01   5.7607054722274498E-01   5.4205512970635306E-02
1 9   6.8518214334914364E-03   2.0669381319510174E-01   2.0491424122819794E-02   1.4641842069048974E-02
1 10   8.6210796276973548E-02   4.7731980780844224E-01   3.2409618174815558E-01   3.6158373356302204E-02
1 11   5.2690781717205861E-04   9.9396681489881497E-02   3.4827610126221468E-03   7.0439781794048714E-03
1 12   2.2065177783061437E-02   2.3289693227086039E-01   1.4144467278303094E-01   1.9570765474505307E-02
1 13   9.4315815534317885E-07   1.9387273212365098E-02   2.3822351842849691E-04   1.3559712160470779E-03
1 14   7.4871821630262045E-04   4.6588241718883407E-02   2.0608478818301183E-02   4.1648880912418416E-03
1 15   9.1581945873856069E-07   3.1590260941030531E-03   5.2741784575656696E-04   1.8864249689185136E-04
1 16   1.8442157240407592E-04   1.1644129026906414E-02   8.3224099539225987E-04   4.3165311868533781E-04
1 17   4.3126204297290324E-03   3.8969505692291059E-02   1.0451390186969844E-02   2.5319099201939559E-03
1 18   4.3082460081906035E-03   7.4107916224140619E-02   3.8400122596802269E-02   7.2529809294414761E-03
1 19   5.6979800595502938E-04   1.3214699562847059E-02   2.4474942461596119E-03   8.3604708530884118E-04
1 20   2.2558559715896712E-02   1.1081867859209957E-01   5.1571865646143383E-02   7.3524224588174224E-03
1 21   1.5806154332095319E-02   1.4788027899467915E-01   7.5018257797359308E-02   1.3024605994987476E-02
1 22   1.0559213088519689E-05   4.8505808140176729E-03   7.4138092468709882E-05   1.2552692236990622E-04
1 23   3.5068408008188197E-04   9.3675290270020355E-03   1.2811999693821199E-03   6.7939133883330451E-04
1 24   4.6459258217167279E-04   2.1501378125841183E-02   1.0142955133978797E-02   2.2752788609919808E-03
1 25   3.2691667250607309E-04   8.6081068151653197E-03   1.4078328370913319E-03   4.8407133677013151E-04
1 26   1.5914656085808034E-02   7.5727618308322003E-02   3.8656021566326630E-02   5.1855312168301287E-03
1 27   9.0864098875900242E-03   8.7210933801875223E-02   4.1471358177387022E-02   7.3343580188269591E-03
1 28   5.8830454208350022E-09   2.1694953461730980E-03   4.2556475500032275E-06   3.6104602169373798E-05
1 29   5.1020487062230923E-06   2.8379380092920792E-03   8.1958948684313429E-05   1.1350073145623020E-04
1 30   1.8519908226780133E-05   5.9141112550622158E-03   1.9037592718958549E-03   5.6643566726641943E-04
1 31   6.2872955020249247E-05   4.1878686530336887E-03   3.2169473694852605E-04   1.8797873883589451E-04
1 32   8.1145824821968332E-03   3.3952536470596338E-02   2.0949773950122045E-02   2.7261116862252743E-03
1 33   3.3442114294108872E-03   3.0092855629233192E-02   1.3254969038586212E-02   2.5103234973414116E-03
1 34   3.2281189128145394E-05   4.6641849872944329E-03   1.8699290231421678E-04   1.3608570104189073E-04
1 35   1.1865081296864540E-03   1.8862073432141066E-02   3.3806269540382593E-03   1.1612522196224326E-03
1 36   1.3206609738441390E-03   3.6408131187261848E-02   1.7066829677067626E-02   3.5367853179380268E-03
1 37   9.8856946630543297E-05   4.6223767913653657E-03   5.4861051318858000E-04   2.5545674940959188E-04
1 38   7.1082700958954277E-03   5.0108250834903063E-02   1.8415375085430397E-02   3.2375557058340661E-03
1 39   4.9685287953430829E-03   6.7133915692471555E-02   3.2420258256904783E-02   6.1834606704618692E-03
1 40   1.8887823971972609E-06   2.1240195864879901E-03   1.7318305980815720E-05   4.1298132837514924E-05
1 41   8.2026542170359054E-05   4.5991571501125773E-03   3.6844764933430995E-04   3.0240401463320029E-04
1 42   1.1770555277369395E-04   1.0019626029941980E-02   4.2760773931598203E-03   1.0506726559900842E-03
1 43   5.7205750082491038E-05   3.4101052961345441E-03   3.1632903561667960E-04   1.5004491144809454E-04
1 44   5.0535811527206119E-03   3.4434992362852426E-02   1.4064071391351404E-02   2.2506887642638859E-03
1 45   2.8020865712577460E-03   3.8359967049348492E-02   1.7254887951776737E-02   3.3454754604145117E-03
1 46   9.7288276580139977E-07   1.2184192401595393E-03   2.1240963796686706E-05   4.4325267558497642E-05
1 47   4.0975289907228796E-06   2.4262508228269542E-03   7.2182394561053683E-04   2.3329152597017572E-04
1 48   1.0938597528820115E-05   1.8256054093614199E-03   7.4197936442948285E-05   6.2918184389849563E-05
1 49   2.6206222187209367E-03   1.4813074415683868E-02   7.7476065845332722E-03   1.1472934846331168E-03
1 50   9.8861122171556488E-04   1.2191612446444748E-02   4.9623316206725216E-03   1.0280782181312431E-03
1 51   7.9719439618853406E-05   4.7069797005392985E-03   3.4657974215187675E-04   2.3862291168714436E-04
1 52   1.1138298313564731E-04   8.6496889990931771E-03   3.2913730625669484E-03   8.1743367303160593E-04
1 53   6.2263224690125944E-04   1.0552514440700060E-02   2.1957843235431004E-03   6.2834349207130391E-04
1 54   4.0382376733299818E-04   1.4621341655592717E-02   6.0937458004517745E-03   1.4163928437000821E-03
1 55   3.9782334584894050E-06   1.0854641081815518E-03   3.0209289786824462E-05   5.6871010199744761E-05
1 56   7.3676877728083692E-06   2.0727759967517283E-03   7.1685419026683262E-04   2.0720286144614266E-04
1 57   4.5157689047469721E-04   7.0234296992882752E-03   1.7186842663894336E-03   4.1580422876339151E-04
1 58   2.2824735945939487E-04   7.9360437245319139E-03   3.0281449323234927E-03   7.1076127584512058E-04
1 59   2.3400649727090339E-04   2.7568850676817865E-03   9.6209238283472616E-04   1.8971391536239178E-04
1 60   6.3354554922301717E-05   1.9217454283147546E-03   6.7839906162397707E-04   1.6786728813313197E-04
1 61   2.9407828055218300E-06   1.1682853336778586E-03   3.4986091831272059E-04   1.1038951734493104E-04
1 62   1.7543630778395924E-05   1.5986017436571986E-03   1.1775499470009007E-04   6.9172813809900675E-05
1 63   1.0317639159538096E-05   2.1135218965087398E-03   6.5486577825237143E-04   2.0187340481558021E-04
1 64   6.5234024085335117E-06   1.1578019765933123E-03   3.0799826395318849E-04   9.6297230875676748E-05
1 65   3.7015189652864412E-02   3.6841864949176728E-01   1.1147787456006697E-01   2.6443957421504603E-02
1 66   3.9983865767003762E-01   1.1530572731813029E+00   7.2937247259444626E-01   7.9097117821255752E-02
1 67   3.4378489270092200E-01   2.0221256635413831E+00   1.1780542690212776E+00   1.6657721749777374E-01
1 68   2.9350896928109316E-02   2.7863941223393401E-01   9.2649685987885852E-02   2.0612313996446249E-02
1 69   3.9731662611243423E-01   1.1529116861090829E+00   7.2003858445431723E-01   7.8538355391496992E-02
1 70   3.1620231091286177E-01   1.7921159678620264E+00   1.0120608021532174E+00   1.4515185178541129E-01
1 71   1.7499973656955950E-02   1.8500380794831225E-01   5.5780567674153486E-02   1.3616165087716662E-02
1 72   1.8998793942032727E-01   5.8412264815650816E-01   3.6534819271003799E-01   3.9649085870083360E-02
1 73   1.7165959372349165E-01   1.0101292506024586E+00   5.8557219432747543E-01   8.3400815453617341E-02
1 74   1.2289123615114760E-02   1.0594238596336383E-01   3.7150352036685499E-02   8.0912275803760175E-03
1 75   1.8459360033314531E-01   5.7134962924713473E-01   3.5548676246187022E-01   3.9141515200649145E-02
1 76   1.3414787476013829E-01   7.9395640366225750E-01   4.2852041613650238E-01   6.3448318970060327E-02
1 77   6.0566790566982239E-03   9.9329571003139813E-02   2.2517446441955774E-02   5.7769660577879859E-03
1 78   7.3143209569140430E-02   2.6304509753816058E-01   1.4682232789112409E-01   1.6738450918342307E-02
1 79   6.3392491192710398E-02   4.0425702333732855E-01   2.2411075880886686E-01   3.4358809489494088E-02
1 80   1.8659993872096969E-03   2.9909205191876207E-02   6.1903750834099713E-03   1.6890537610143304E-03
1 81   5.9212517506037045E-02   2.0762319109721233E-01   1.3637181589513431E-01   1.5756468358450876E-02
1 82   3.5089089064020869E-02   2.2504013827649377E-01   1.1135136545927485E-01   1.7832695669199847E-02
1 83   1.2290443162175811E-02   2.1162377461770096E-01   4.0418556124650472E-02   1.3347957758031695E-02
1 84   1.6836615685058162E-01   6.0491879969586582E-01   3.2639441215744464E-01   4.2262035774741101E-02
1 85   1.5428155938160887E-01   1.1399128713084585E+00   6.4969343759488163E-01   9.9692337930132796E-02
1 86   9.1271195701655670E-03   1.4123315653314791E-01   3.3322416878936167E-02   9.6367230952405566E-03
1 87   1.6381383327927787E-01   6.0441264425913177E-01   3.2072575683352589E-01   4.1031691867422240E-02
1 88   1.3933859960409070E-01   9.8034217655900402E-01   5.4099090948060480E-01   8.3694277966853858E-02
1 89   5.5421180888295118E-03   1.0686793521435058E-01   2.0245828353750848E-02   7.0596849274227507E-03
1 90   7.8496940285993383E-02   3.0691552483642692E-01   1.6365987572230237E-01   2.1078751782825648E-02
1 91   7.5898432466478052E-02   5.6840984851333143E-01   3.2207147587713242E-01   4.9919033083528137E-02
1 92   3.8626379471796814E-03   5.0350036988296376E-02   1.3241139920715114E-02   3.5900942473366406E-03
1 93   7.7044247118969400E-02   2.9673055141486404E-01   1.5777085167257110E-01   2.0035537682796076E-02
1 94   5.7604923483839068E-02   4.1587512972554108E-01   2.2011347153697930E-01   3.5177848761008129E-02
1 95   1.8456329648198055E-03   6.4764361955681624E-02   8.1851586671774588E-03   3.0991286183182842E-03
1 96   2.9194126348129300E-02   1.4554801529215361E-01   6.5999004911842865E-02   8.8886862753759181E-03
1 97   2.4949624591818698E-02   2.2864708135352460E-01   1.2087224323316069E-01   2.0829440024354249E-02
1 98   5.7539407738803165E-04   1.4487220478367748E-02   2.1395207166044028E-03   6.9825515345677404E-04
1 99   2.3543174761618546E-02   1.0516515844801257E-01   6.0154563148967471E-02   7.8013313124702293E-03
1 100   1.3437756171047170E-02   1.1056565548590486E-01   5.1858180084150024E-02   8.9257015421734948E-03
1 101   1.0293289992542481E-03   7.5133853589611624E-02   4.6311339816059302E-03   3.5141914608420987E-03
1 102   2.5604101249126980E-02   1.7998191621148518E-01   6.2419301790938367E-02   1.3226642941092236E-02
1 103   2.7165452332814741E-02   3.8802298011336395E-01   2.1077155595331226E-01   3.7995513803980301E-02
1 104   7.3189155471688086E-04   3.9759484672838449E-02   3.7072069832111794E-03   2.0909698294564925E-03
1 105   2.5121503224978962E-02   1.8031703425893061E-01   6.0475898370049866E-02   1.1866352886580101E-02
1 106   2.3070663163068082E-02   3.1227441033741699E-01   1.6495864730040824E-01   2.9523982966993600E-02
1 107   4.4483809171827580E-04   3.9327424363260061E-02   2.3421109295552727E-03   1.9983835235932632E-03
1 108   1.2785596501934173E-02   9.3798851749485018E-02   3.1368121694480763E-02   6.4536632983788747E-03
1 109   1.4264496772001766E-02   1.9647350624697524E-01   1.0383770618221927E-01   1.9035720608395579E-02
1 110   3.0222256226281730E-04   1.1257931480015602E-02   1.4395644182065297E-03   6.8440666816410383E-04
1 111   1.1333476105544353E-02   8.3008309602016273E-02   2.9423111139714627E-02   5.3523887136314677E-03
1 112   9.6178955600428242E-03   1.2340925166522465E-01   6.1454897011022316E-02   1.1375105487830038E-02
1 113   1.3843493558336436E-04   2.9452372468279003E-02   9.5733097904272162E-04   9.6092809839386846E-04
1 114   4.3078085517219986E-03   4.7105404873045320E-02   1.2732536857530870E-02   2.5462923350493588E-03
1 115   3.7591528973893351E-03   8.1727064020906917E-02   3.7290663486517307E-02   8.0819082452888141E-03
1 116   4.3949353211172010E-05   3.2903726802751688E-03   2.1896129363481622E-04   1.1108117221933346E-04
1 117   3.4872159612227148E-03   2.7105981856540305E-02   1.1008742176897887E-02   1.8555398774800578E-03
1 118   1.8677316682489174E-03   2.6585598882431099E-02   1.1295242799328331E-02   2.2415460435959017E-03
1 119   2.2467310236934016E-05   2.1244197826665052E-02   2.4784338274045503E-04   6.1469755507590255E-04
1 120   1.7841565703705965E-03   4.6800425627039614E-02   6.5654724736179410E-03   3.3697021715460799E-03
1 121   2.6115604028102042E-03   1.1290259783748594E-01   5.1579248963165687E-02   1.1422994826334860E-02
1 122   1.8002101262257207E-05   9.0430531846514527E-03   1.7280680913419117E-04   2.7378119817871206E-04
1 123   1.7643553032440169E-03   4.6278869397182190E-02   6.1606836864902519E-03   2.6666746378079310E-03
1 124   2.1614378676215770E-03   8.3514261616324026E-02   3.8003403337816447E-02   8.2211130630763466E-03
1 125   1.0948880106590236E-05   1.2056858681640109E-02   1.3364542095082040E-04   3.8818710254760822E-04
1 126   8.9049715150425930E-04   2.3172746860568333E-02   3.3002832313770683E-03   1.5910262112518471E-03
1 127   1.3325168648185106E-03   5.6233306003203087E-02   2.5217467791690720E-02   5.7322102570420636E-03
1 128   7.1329246041135243E-06   1.6608238219422320E-03   6.2675174379432029E-05   7.3622846755213778E-05
1 129   7.3235060192538464E-04   1.6921189590238427E-02   2.9149894113215205E-03   1.0198379968953495E-03
1 130   7.9144739755125551E-04   3.0104629120905096E-02   1.2814489480169585E-02   2.8727060924346459E-03
1 131   3.0987056098048880E-06   1.0481314410351560E-02   5.8443983851338597E-05   2.1267908075591469E-04
1 132   3.0383065553663349E-04   1.3368806272079304E-02   1.3335122513018012E-03   5.2721393980691264E-04
1 133   3.0947985256809840E-04   2.5098335826994708E-02   8.5904107150822154E-03   2.4145424925858124E-03
1 134   2.0582727197557968E-04   4.5845100903106339E-03   1.0430730712712400E-03   2.7239052629489272E-04
1 135   1.3587930947448021E-04   4.6344556135534086E-03   1.6509162358972814E-03   3.9585277504315886E-04
2 1   3.4473096945097514E-01   1.0601386993738040E+00   7.6577880113067509E-01   7.5927327435741668E-02
2 2   7.2344607290584106E-01   2.0338891201242331E+00   1.2616212404298790E+00   1.2551980601701548E-01
2 3   2.0054004568531114E-01   8.2432776546274122E-01   5.6924577280014477E-01   6.5429195443594629E-02
2 4   4.5748760028488500E-01   1.5452533198454390E+00   8.7939538630618108E-01   1.0540714468445059E-01
2 5   1.0917284040850378E-01   6.4240098925995626E-01   4.2423426513544576E-01   5.5922133736059615E-02
2 6   2.8231040237337585E-01   1.1685246324505567E+00   6.0708303688484577E-01   8.7515433870445539E-02
2 7   4.5261432063628121E-02   4.6593967609074233E-01   2.8673765385365324E-01   4.4264198131872587E-02
2 8   1.3494154498761946E-01   7.9197001439840709E-01   3.6420434793057938E-01   6.6049154415701056E-02
2 9   9.9719007859420099E-03   2.8284553021515052E-01   1.6131805249446241E-01   2.9781417482955614E-02
2 10   4.0160273678045956E-02   4.4110766197040852E-01   1.6825923747982585E-01   4.0547174435351593E-02
2 11   8.3955159510281827E-04   1.4028892592343192E-01   7.0403727146671230E-02   1.5653761398321978E-02
2 12   5.5814784738973215E-03   1.8856312582803306E-01   5.4876140040678839E-02   1.7996687303684349E-02
2 13   1.9047266939710044E-06   3.0526440092359892E-02   1.0257818064715958E-02   3.1749430053116139E-03
2 14   5.0470764224650783E-05   3.0240272337851305E-02   4.3417549825498815E-03   2.3015123613252331E-03
2 15   1.2818842799222386E-11   2.7756639638249168E-03   2.6252089509153336E-04   1.3922789763579324E-04
2 16   3.2893677453087108E-04   2.3410344256626154E-02   7.5855029385088670E-03   2.3452383816602558E-03
2 17   6.6784930698848928E-03   4.5814917811728501E-02   2.6355005130415523E-02   4.2100114851753639E-03
2 18   2.4886617770428950E-03   7.4164597236568111E-02   1.5485232124417657E-02   6.0454907417841547E-03
2 19   1.0789906544253832E-03   3.0031784677050442E-02   7.8504562054629214E-03   2.3570351933524464E-03
2 20   3.5064639232962998E-02   1.3452287511621230E-01   8.6552417250016653E-02   1.1169096046737506E-02
2 21   1.0151608494887346E-02   1.6143002670221723E-01   4.3396945060959993E-02   1.3603353013593559E-02
2 22   2.0075899444609392E-05   8.5888988555793879E-03   2.9202337760064396E-03   1.0155339375796837E-03
2 23   5.8637880707639164E-04   1.1401045774008092E-02   5.1264059114480530E-03   1.0519388178542983E-03
2 24   1.7968638427551183E-04   1.7923426731509019E-02   2.6345852402760665E-03   1.3838788360502816E-03
2 25   5.8726088219499017E-04   1.4197127763104302E-02   3.1036389185839803E-03   1.1459549056228836E-03
2 26   2.4196557424085979E-02   9.0608740444054342E-02   5.8459964674086755E-02   7.2750124162220368E-03
2 27   6.8619820890362679E-03   9.2477517906342163E-02   2.6647302365814592E-02   7.8737599537103409E-03
2 28   1.6928842541439833E-08   4.2636585521028149E-03   6.3142530126826426E-04   3.5213336152686641E-04
2 29   9.4227560610836000E-06   3.9018213000148140E-03   8.2321134482882274E-04   3.2209317116905790E-04
2 30   8.7656041207510977E-07   3.9726768171411408E-03   3.3700112469554205E-04   2.6842072100901883E-04
2 31   9.0833285326042296E-05   5.1190708440484473E-03   5.5793523492781122E-04   4.2280061645498084E-04
2 32   1.1299827235556033E-02   3.9480229075581685E-02   2.5570089290288450E-02   3.1106353313594291E-03
2 33   2.6054310301627101E-03   2.9293997414767230E-02   9.1532311446260745E-03   2.4772873934259423E-03
2 34   6.3305478628419102E-05   1.0697872188143141E-02   2.8346151760440257E-03   1.0168751918337160E-03
2 35   2.0101611198943040E-03   2.1826540462375497E-02   1.1187639825007374E-02   2.0923783409390541E-03
2 36   6.5843287855741857E-04   3.3948911712861921E-02   5.7341227105593678E-03   2.7060326385890802E-03
2 37   2.1045848723649742E-04   1.4949639162628668E-02   2.5898371920876576E-03   1.0149875042003878E-03
2 38   1.1954735817289862E-02   6.4264189588047554E-02   3.8076505195584275E-02   5.7843427726480745E-03
2 39   2.6372191405966880E-03   7.5363932772513298E-02   1.6216327412971743E-02   6.3994963784048658E-03
2 40   3.7791630718683012E-06   4.1645481036270034E-03   1.1559804923757066E-03   4.4796649569947588E-04
2 41   1.4100716134238142E-04   4.9231383392686961E-03   1.9106597690444623E-03   4.5144974181080796E-04
2 42   4.0996116831316213E-05   7.4258859011601241E-03   8.8736776719338241E-04   5.3316157780735739E-04
2 43   1.1695636099001873E-04   7.2833986271481407E-03   9.4310612249055002E-04   5.0959811496439336E-04
2 44   8.8959832873385710E-03   4.1247012161864820E-02   2.5557521468977391E-02   3.7007274184418749E-03
2 45   1.7878882309896025E-03   4.2649420073768401E-02   9.8422816796764432E-03   3.6648284067607759E-03
2 46   2.7741684171690605E-09   2.0588263373486656E-03   2.5170931678135882E-04   1.4566476524614325E-04
2 47   1.8766601136645757E-06   1.5032299135534408E-03   2.7202554681513165E-04   1.1467371218784898E-04
2 48   1.4849871155459320E-07   1.4950437440663725E-03   9.6786270082464210E-05   8.7012204470095016E-05
2 49   1.6867400970655299E-05   2.5702346937874019E-03   1.6111816846858140E-04   1.9501258628000390E-04
