     -0.5597848858 a         1     0     1     1     1
     -0.0789699327 a         2     0     1     1     2
     -0.0429855603 a         3     0     1     1     3
      0.0888695663 a         4     0     1     1     4
     -0.4302102854 a         5     0     1     1     5
     -0.1845318670 a         6     0     1     1     6
     -0.4173589220 a         7     0     1     1     7
     -0.1719810228 a         8     0     1     1     8
     -0.8993304124 a         9     0     1     1     9
     -0.7483766838 a        10     0     1     1    10
     -0.0068428092 a        11     0     1     1    11
      1.7516509716 a        12     0     1     1    12
     -0.1698824387 a        13     0     1     1    13
      0.9820471862 a        14     0     1     1    14
      0.5615797887 a        15     0     1     1    15
      0.8554032454 a        16     0     1     1    16
      0.0382072000 a        17     0     1     1    17
      0.3326614540 a        18     0     1     1    18
     -0.1281311260 a        19     0     1     1    19
     -0.2287340892 a        20     0     1     1    20
      0.8470373787 a        21     0     1     1    21
      0.1821566241 a        22     0     1     1    22
      0.5187969654 a        23     0     1     1    23
      0.1821576559 a        24     0     1     1    24
      0.6127357886 a        25     0     1     1    25
     -0.2338956508 a        26     0     2     1     1
      1.1095679031 a        27     0     2     1     2
     -0.4272094292 a        28     0     2     1     3
     -0.1371599043 a        29     0     2     1     4
     -0.6702918712 a        30     0     2     1     5
     -0.5157421469 a        31     0     2     1     6
      0.7521063576 a        32     0     2     1     7
     -0.0877083993 a        33     0     2     1     8
      0.9948575768 a        34     0     2     1     9
      0.7167422135 a        35     0     2     1    10
      1.0489764783 a        36     0     2     1    11
     -1.4652964117 a        37     0     2     1    12
     -0.2245703919 a        38     0     2     1    13
     -0.0216647086 a        39     0     2     1    14
      0.4302889290 a        40     0     2     1    15
      0.9229631044 a        41     0     2     1    16
     -0.0604344383 a        42     0     2     1    17
      0.3139402342 a        43     0     2     1    18
      0.4184209444 a        44     0     2     1    19
      0.6238589411 a        45     0     2     1    20
     -0.5375252123 a        46     0     2     1    21
      0.2846558462 a        47     0     2     1    22
      0.6826145057 a        48     0     2     1    23
      0.3056343018 a        49     0     2     1    24
      0.9028774780 a        50     0     2     1    25
     -0.5669295794 a        51     0     3     1     1
     -0.9052343113 a        52     0     3     1     2
      0.9509239949 a        53     0     3     1     3
     -0.1194898878 a        54     0     3     1     4
     -0.0829868792 a        55     0     3     1     5
      0.4335289436 a        56     0     3     1     6
     -0.7446649101 a        57     0     3     1     7
      0.4530198152 a        58     0     3     1     8
     -0.7652025876 a        59     0     3     1     9
     -0.8611047731 a        60     0     3     1    10
     -0.8534623036 a        61     0     3     1    11
      0.9748422834 a        62     0     3     1    12
     -0.1327319210 a        63     0     3     1    13
     -0.8874121250 a        64     0     3     1    14
     -0.5526231168 a        65     0     3     1    15
      0.0972291833 a        66     0     3     1    16
      0.4543552434 a        67     0     3     1    17
     -0.1379225116 a        68     0     3     1    18
     -0.5858253617 a        69     0     3     1    19
     -1.1375685335 a        70     0     3     1    20
     -0.2158967724 a        71     0     3     1    21
     -0.0286799450 a        72     0     3     1    22
      0.6283805701 a        73     0     3     1    23
     -0.0552822057 a        74     0     3     1    24
     -0.6159287744 a        75     0     3     1    25
     -0.6361917478 a        76     0     4     1     1
      0.7259463408 a        77     0     4     1     2
      0.6487854712 a        78     0     4     1     3
     -0.1562253793 a        79     0     4     1     4
     -0.6124587328 a        80     0     4     1     5
      0.1690611878 a        81     0     4     1     6
      0.1335398664 a        82     0     4     1     7
      0.6147335831 a        83     0     4     1     8
      0.6035214305 a        84     0     4     1     9
     -0.1510304660 a        85     0     4     1    10
      0.1651526323 a        86     0     4     1    11
     -1.3130525862 a        87     0     4     1    12
     -0.6956397841 a        88     0     4     1    13
     -0.1279636907 a        89     0     4     1    14
     -0.6590354473 a        90     0     4     1    15
      0.0088934274 a        91     0     4     1    16
     -0.7498733602 a        92     0     4     1    17
     -0.0501659962 a        93     0     4     1    18
      0.5398953372 a        94     0     4     1    19
     -0.0573670353 a        95     0     4     1    20
     -0.3108600491 a        96     0     4     1    21
     -0.0175926352 a        97     0     4     1    22
      0.2076608291 a        98     0     4     1    23
     -0.1886927348 a        99     0     4     1    24
     -0.5702661152 a       100     0     4     1    25
     -0.0345293022 a       101     0     5     1     1
     -0.3580372164 a       102     0     5     1     2
     -0.7834140524 a       103     0     5     1     3
      0.1741295091 a       104     0     5     1     4
     -0.0247986578 a       105     0     5     1     5
      0.3546508550 a       106     0     5     1     6
      1.3539000907 a       107     0     5     1     7
     -0.0128726391 a       108     0     5     1     8
     -1.4338813807 a       109     0     5     1     9
      1.2738315594 a       110     0     5     1    10
      0.0389488145 a       111     0     5     1    11
      0.4817448989 a       112     0     5     1    12
      0.7676715211 a       113     0     5     1    13
      0.7707716472 a       114     0     5     1    14
     -0.2540074483 a       115     0     5     1    15
      0.5533936592 a       116     0     5     1    16
      0.9517265242 a       117     0     5     1    17
     -0.3007489029 a       118     0     5     1    18
      0.5134566790 a       119     0     5     1    19
      0.6288904475 a       120     0     5     1    20
      1.4722685153 a       121     0     5     1    21
     -0.6335083065 a       122     0     5     1    22
      0.4271891568 a       123     0     5     1    23
     -0.6749722214 a       124     0     5     1    24
      0.7596755813 a       125     0     5     1    25
     -0.1421349963 a       126     0     6     1     1
      0.2978129822 a       127     0     6     1     2
     -0.8113944056 a       128     0     6     1     3
      0.0700998248 a       129     0     6     1     4
      0.3054728988 a       130     0     6     1     5
      0.8499912914 a       131     0     6     1     6
     -0.4073316083 a       132     0     6     1     7
     -0.2057551809 a       133     0     6     1     8
     -0.5600553794 a       134     0     6     1     9
     -0.3561620042 a       135     0     6     1    10
     -0.0200468261 a       136     0     6     1    11
     -0.8450605924 a       137     0     6     1    12
     -0.5192051921 a       138     0     6     1    13
     -0.3453102762 a       139     0     6     1    14
     -0.1592325374 a       140     0     6     1    15
     -0.5023990176 a       141     0     6     1    16
      0.2177854139 a       142     0     6     1    17
      0.0049456589 a       143     0     6     1    18
      0.0808128561 a       144     0     6     1    19
      0.2816900670 a       145     0     6     1    20
      0.0100436285 a       146     0     6     1    21
     -0.0972403143 a       147     0     6     1    22
     -0.3629397251 a       148     0     6     1    23
     -0.1373674724 a       149     0     6     1    24
     -0.5278498893 a       150     0     6     1    25
      0.1332678258 a       151     0     7     1     1
      0.3007775296 a       152     0     7     1     2
     -0.6118578646 a       153     0     7     1     3
      0.5565557906 a       154     0     7     1     4
     -0.4886768627 a       155     0     7     1     5
      0.1641843079 a       156     0     7     1     6
      0.7161618486 a       157     0     7     1     7
     -0.3187705543 a       158     0     7     1     8
      0.0082247656 a       159     0     7     1     9
     -0.4157062222 a       160     0     7     1    10
     -0.7570882884 a       161     0     7     1    11
      1.6707396824 a       162     0     7     1    12
      0.5397572936 a       163     0     7     1    13
      1.0555272053 a       164     0     7     1    14
     -1.2007532709 a       165     0     7     1    15
     -0.0774360647 a       166     0     7     1    16
     -0.4374170447 a       167     0     7     1    17
