################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  6.5087058178326573E-01 a         1     0     1     1     1
  3.0373179569952495E+00 a         2     0     1     1     2
 -3.6132730859803659E+00 a         3     0     1     1     3
 -2.2456606938102852E+00 a         4     0     1     1     4
 -2.7341725911215984E+00 a         5     0     1     1     5
  2.9652859486644556E+00 a         6     0     1     1     6
 -1.4213535338879309E-02 a         7     0     1     1     7
  4.8787512111159853E-01 a         8     0     1     1     8
  5.3632972434975477E+00 a         9     0     1     1     9
 -1.1231461720038960E+00 a        10     0     1     1    10
  6.6266460888869112E+00 a        11     0     1     1    11
  2.1229557616550605E+00 a        12     0     1     1    12
 -1.7523713762768549E+00 a        13     0     1     1    13
 -2.2957220655274448E+00 a        14     0     1     1    14
  3.1983745807552699E+00 a        15     0     1     1    15
 -3.5352902775394568E-01 a        16     0     2     1     1
 -2.4936440361762613E+00 a        17     0     2     1     2
  5.4386128105043303E+00 a        18     0     2     1     3
  1.7369619860174434E+00 a        19     0     2     1     4
  4.8165986422292804E+00 a        20     0     2     1     5
  3.5945419605163692E-01 a        21     0     2     1     6
 -1.4284083712837476E+00 a        22     0     2     1     7
 -2.2660484983366627E+00 a        23     0     2     1     8
 -4.9705533904972414E+00 a        24     0     2     1     9
 -3.1034389102110604E+00 a        25     0     2     1    10
 -4.8995247072445478E+00 a        26     0     2     1    11
  7.9108802511685705E-01 a        27     0     2     1    12
  1.4367071661583730E+00 a        28     0     2     1    13
 -1.8157217634188061E+00 a        29     0     2     1    14
 -4.8697745566741242E+00 a        30     0     2     1    15
  7.8859835835177483E-01 a        31     0     3     1     1
 -1.4085821926014190E+00 a        32     0     3     1     2
  8.5005598876555943E-01 a        33     0     3     1     3
  3.0514944182867865E+00 a        34     0     3     1     4
  1.1090158020851475E+00 a        35     0     3     1     5
 -4.0697102766142619E+00 a        36     0     3     1     6
  1.1150052689944840E+00 a        37     0     3     1     7
  9.2095984766708416E-01 a        38     0     3     1     8
 -8.4371541526910292E+00 a        39     0     3     1     9
  2.5650033092899389E+00 a        40     0     3     1    10
 -2.4192966146384784E+00 a        41     0     3     1    11
 -1.8276621685660919E+00 a        42     0     3     1    12
  2.0936810180175329E+00 a        43     0     3     1    13
  2.4079187895993313E+00 a        44     0     3     1    14
 -3.6989909796566636E+00 a        45     0     3     1    15
  2.9518098446976515E-01 a        46     0     4     1     1
 -5.2048087846331292E-01 a        47     0     4     1     2
  6.0774447655771424E-01 a        48     0     4     1     3
 -1.6771151940996403E+00 a        49     0     4     1     4
  9.1729118542874277E-01 a        50     0     4     1     5
  9.8768939347078588E-01 a        51     0     4     1     6
 -1.3323778151894126E+00 a        52     0     4     1     7
 -4.8500722437593879E-01 a        53     0     4     1     8
  2.0744585582871680E+00 a        54     0     4     1     9
 -1.6115280480263883E+00 a        55     0     4     1    10
 -5.3503664894535263E-01 a        56     0     4     1    11
  1.6891506359801034E+00 a        57     0     4     1    12
 -9.4651370538626628E-02 a        58     0     4     1    13
 -1.4744146967056186E+00 a        59     0     4     1    14
  8.2355762048641068E-01 a        60     0     4     1    15
 -7.2374145175818894E-01 a        61     0     5     1     1
 -3.6410046718751992E+00 a        62     0     5     1     2
  2.8805968640993092E+00 a        63     0     5     1     3
  4.6486083494060743E-01 a        64     0     5     1     4
  2.9419017048240130E+00 a        65     0     5     1     5
  2.4272469221076223E-01 a        66     0     5     1     6
 -2.3751598905011684E+00 a        67     0     5     1     7
 -3.1283639370512706E+00 a        68     0     5     1     8
  3.6573279474985023E+00 a        69     0     5     1     9
  3.5406444902342922E+00 a        70     0     5     1    10
 -7.8412287204160491E-01 a        71     0     5     1    11
 -3.6108246457869198E-01 a        72     0     5     1    12
 -4.5495857193018030E-01 a        73     0     5     1    13
 -1.4734744941192557E-01 a        74     0     5     1    14
  7.9331734034549550E-01 a        75     0     5     1    15
  4.7334011821470473E-01 a        76     0     6     1     1
  2.9473713198189999E-01 a        77     0     6     1     2
 -2.7722222671610024E+00 a        78     0     6     1     3
 -3.3868864542165369E+00 a        79     0     6     1     4
 -2.7305895872494172E+00 a        80     0     6     1     5
 -2.8037046336718074E-01 a        81     0     6     1     6
 -5.7915685590862609E-01 a        82     0     6     1     7
  4.1920164922224812E-01 a        83     0     6     1     8
  3.3762033945129413E+00 a        84     0     6     1     9
 -6.5295223774783440E-01 a        85     0     6     1    10
  2.1354167158716528E+00 a        86     0     6     1    11
  2.1665072927691433E+00 a        87     0     6     1    12
 -4.1087807992273323E-01 a        88     0     6     1    13
  1.1352153171654955E+00 a        89     0     6     1    14
  3.8543983008561242E+00 a        90     0     6     1    15
 -2.6558109684114353E+00 a        91     0     7     1     1
  1.2819953567671030E+00 a        92     0     7     1     2
 -4.4208731357864250E+00 a        93     0     7     1     3
 -9.6583253108521483E-01 a        94     0     7     1     4
 -4.4526691497952759E+00 a        95     0     7     1     5
  5.0200348158316643E+00 a        96     0     7     1     6
 -1.8211438960833282E-01 a        97     0     7     1     7
  4.4676564166426695E+00 a        98     0     7     1     8
  2.1542552546620173E+00 a        99     0     7     1     9
 -1.8843340574782459E+00 a       100     0     7     1    10
  2.6836995872288698E+00 a       101     0     7     1    11
 -5.4208527350760416E-01 a       102     0     7     1    12
