################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -2.0566101552039731E-01 a         1     0     1     1     1
 -7.4642845011061915E-02 a         2     0     1     1     2
 -3.6947790509157102E-01 a         3     0     1     1     3
 -3.5530371102488195E-01 a         4     0     1     1     4
  2.2839118444822631E-01 a         5     0     1     1     5
  3.8810450592546153E-01 a         6     0     1     1     6
  2.0724715200442320E-01 a         7     0     1     1     7
  6.4305136937815602E-02 a         8     0     1     1     8
  1.5018077984628705E-01 a         9     0     1     1     9
  2.9404469908150305E-01 a        10     0     1     1    10
  1.6519631957487219E-01 a        11     0     1     1    11
  1.3782323948703068E-01 a        12     0     1     1    12
 -5.0810437060202857E-02 a        13     0     1     1    13
 -1.8781193952729847E-01 a        14     0     1     1    14
 -2.5514992183654073E-01 a        15     0     1     1    15
 -8.2319387410103695E-02 a        16     0     2     1     1
  3.6536221128165070E-01 a        17     0     2     1     2
 -1.1118175509406764E-01 a        18     0     2     1     3
  3.7993464299487562E-03 a        19     0     2     1     4
  3.4486918803609184E-01 a        20     0     2     1     5
 -1.0034817894141544E-01 a        21     0     2     1     6
 -3.8076990906542174E-01 a        22     0     2     1     7
  1.6543201799149778E-02 a        23     0     2     1     8
  3.3173504840771928E-01 a        24     0     2     1     9
 -9.8252660934480943E-02 a        25     0     2     1    10
 -9.7254215194895938E-02 a        26     0     2     1    11
 -1.1730253060452490E-02 a        27     0     2     1    12
  2.8565003595262162E-01 a        28     0     2     1    13
  2.7827203193786998E-01 a        29     0     2     1    14
  2.1451275453990833E-02 a        30     0     2     1    15
  1.0147427845715451E-01 a        31     0     3     1     1
  9.5105701180376437E-02 a        32     0     3     1     2
 -3.5616751591049717E-01 a        33     0     3     1     3
 -3.1839051552268943E-01 a        34     0     3     1     4
  2.1254266083106285E-01 a        35     0     3     1     5
  2.5202923482079970E-01 a        36     0     3     1     6
 -1.7814444305983577E-02 a        37     0     3     1     7
  4.0382652619155003E-02 a        38     0     3     1     8
 -2.8847250116435502E-01 a        39     0     3     1     9
  1.1496814472821064E-01 a        40     0     3     1    10
  3.1546499957540897E-01 a        41     0     3     1    11
 -3.7256443667826561E-01 a        42     0     3     1    12
 -3.1401751285980595E-01 a        43     0     3     1    13
  8.1801119732425542E-02 a        44     0     3     1    14
  8.3555689748272294E-02 a        45     0     3     1    15
  3.8220373263368113E-01 a        46     0     4     1     1
 -7.8067324225672891E-02 a        47     0     4     1     2
  1.7049121585195882E-02 a        48     0     4     1     3
  5.8556398726392116E-02 a        49     0     4     1     4
 -2.9205289888799740E-01 a        50     0     4     1     5
  1.6052183353377503E-01 a        51     0     4     1     6
 -3.2593065530439669E-01 a        52     0     4     1     7
  2.6432469532754926E-01 a        53     0     4     1     8
 -3.3946209269267497E-01 a        54     0     4     1     9
 -2.9274114550181229E-01 a        55     0     4     1    10
 -3.7494734760526782E-01 a        56     0     4     1    11
 -1.5201963671703911E-01 a        57     0     4     1    12
 -1.4461998855427766E-01 a        58     0     4     1    13
 -3.7770249859245286E-01 a        59     0     4     1    14
 -5.8713802962791828E-02 a        60     0     4     1    15
  7.4110712945932604E-03 a        61     0     5     1     1
  1.6181420828870025E-01 a        62     0     5     1     2
  3.7495713513807211E-01 a        63     0     5     1     3
 -3.3417999159438200E-01 a        64     0     5     1     4
  1.4845574556249116E-01 a        65     0     5     1     5
 -1.5682874226356680E-01 a        66     0     5     1     6
  1.0078632509838986E-01 a        67     0     5     1     7
 -7.7251254941379669E-03 a        68     0     5     1     8
 -2.6956977108544822E-01 a        69     0     5     1     9
  2.1651784309977218E-01 a        70     0     5     1    10
  3.6975106007141334E-01 a        71     0     5     1    11
 -3.0174184397331788E-01 a        72     0     5     1    12
 -2.8729548101966818E-01 a        73     0     5     1    13
 -1.7937574337338011E-01 a        74     0     5     1    14
 -3.3040341766442510E-01 a        75     0     5     1    15
 -9.0020879904053122E-02 a        76     0     6     1     1
 -6.5759296100381642E-02 a        77     0     6     1     2
 -5.4056737130987145E-02 a        78     0     6     1     3
  2.6725627323501727E-01 a        79     0     6     1     4
  8.6635578124364787E-02 a        80     0     6     1     5
  2.8492240080261044E-01 a        81     0     6     1     6
 -1.8624735067498166E-01 a        82     0     6     1     7
 -3.3248809097978942E-02 a        83     0     6     1     8
  1.7542454332580240E-01 a        84     0     6     1     9
  6.6507796340387032E-02 a        85     0     6     1    10
 -1.3166469490918731E-01 a        86     0     6     1    11
  5.8258138953499961E-02 a        87     0     6     1    12
  7.9646817602000795E-03 a        88     0     6     1    13
 -3.6758262904566325E-01 a        89     0     6     1    14
 -1.9898544208306482E-01 a        90     0     6     1    15
 -1.0653226100207278E-01 a        91     0     7     1     1
 -1.8001814578861955E-01 a        92     0     7     1     2
 -5.9110705756640063E-02 a        93     0     7     1     3
  3.2968264989057955E-01 a        94     0     7     1     4
 -8.2105727692391925E-02 a        95     0     7     1     5
  9.2698770208792761E-02 a        96     0     7     1     6
 -1.9404976742523469E-01 a        97     0     7     1     7
 -1.6208966504262792E-01 a        98     0     7     1     8
 -1.7258363844933480E-01 a        99     0     7     1     9
 -8.6984861229401356E-02 a       100     0     7     1    10
 -1.8901627187531334E-01 a       101     0     7     1    11
  2.0096085261892982E-01 a       102     0     7     1    12
 -1.0107418567459837E-01 a       103     0     7     1    13
  1.1409374359192183E-01 a       104     0     7     1    14
  4.3687684970638206E-02 a       105     0     7     1    15
  5.0231556689187787E-02 a       106     0     8     1     1
 -2.0524436245169195E-01 a       107     0     8     1     2
 -3.4787971731787859E-01 a       108     0     8     1     3
 -2.1322357730931904E-01 a       109     0     8     1     4
  8.1731455740137890E-02 a       110     0     8     1     5
  4.6224169623822788E-02 a       111     0     8     1     6
 -1.6135795014028514E-01 a       112     0     8     1     7
  3.6239143810029423E-01 a       113     0     8     1     8
 -1.5021135586219242E-01 a       114     0     8     1     9
 -1.7687879223988126E-01 a       115     0     8     1    10
  2.0595953934838254E-01 a       116     0     8     1    11
 -8.3839826067025627E-02 a       117     0     8     1    12
  2.8585523976449984E-01 a       118     0     8     1    13
 -2.9113064034809333E-01 a       119     0     8     1    14
 -2.7458196331673373E-01 a       120     0     8     1    15
  3.8183805844595731E-01 a       121     0     9     1     1
  3.0203484777865292E-01 a       122     0     9     1     2
  1.7836915682341226E-01 a       123     0     9     1     3
  2.7546124915036200E-03 a       124     0     9     1     4
 -2.2601589286114471E-01 a       125     0     9     1     5
  1.9200118318787701E-01 a       126     0     9     1     6
 -1.6703069538440765E-02 a       127     0     9     1     7
  2.0037062007743917E-01 a       128     0     9     1     8
 -2.1272889685553956E-01 a       129     0     9     1     9
  3.0547046476069339E-01 a       130     0     9     1    10
 -3.0025023203569134E-01 a       131     0     9     1    11
  3.3697732647125794E-01 a       132     0     9     1    12
  1.4578591234512439E-01 a       133     0     9     1    13
  7.7074079434256912E-02 a       134     0     9     1    14
