################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -2.9422332570564236E-01 a         1     0     1     1     1
 -8.6242968305505707E-01 a         2     0     1     1     2
  1.4984269258952362E-01 a         3     0     1     1     3
 -1.2409563118422011E+00 a         4     0     1     1     4
  4.0042409765381654E-01 a         5     0     1     1     5
 -1.2320994861918082E+00 a         6     0     1     1     6
 -8.1103730348523106E-01 a         7     0     1     1     7
 -6.4652981857524261E-01 a         8     0     1     1     8
 -3.3412864213069637E-01 a         9     0     1     1     9
 -7.4371115709111910E-02 a        10     0     1     1    10
 -9.5070171126510949E-01 a        11     0     1     1    11
  3.6109449159015083E-01 a        12     0     1     1    12
  5.2839043147262188E-01 a        13     0     1     1    13
 -7.4957857100217340E-01 a        14     0     1     1    14
  3.1492263358132089E-01 a        15     0     1     1    15
  1.1863329666356316E-01 a        16     0     1     1    16
 -6.0979091657382434E-01 a        17     0     1     1    17
  2.4472520553129076E-01 a        18     0     1     1    18
 -1.3341553193115157E+00 a        19     0     1     1    19
  5.0440017184546970E-01 a        20     0     1     1    20
 -5.0826978136358347E-01 a        21     0     1     1    21
 -1.6379745994230226E+00 a        22     0     1     1    22
 -8.3379128057362847E-02 a        23     0     1     1    23
  1.6949669804612509E-02 a        24     0     1     1    24
  1.2118866474140913E-01 a        25     0     1     1    25
 -3.6004545018678008E-01 a        26     0     2     1     1
  8.1061415908630727E-03 a        27     0     2     1     2
 -8.0770763582819827E-01 a        28     0     2     1     3
  1.6415119695579954E+00 a        29     0     2     1     4
 -8.2596054945166242E-01 a        30     0     2     1     5
  2.3858608190844222E+00 a        31     0     2     1     6
  1.4272362416426936E+00 a        32     0     2     1     7
  3.7545030039492977E-01 a        33     0     2     1     8
 -1.0065497568219210E+00 a        34     0     2     1     9
  8.3764535764831383E-01 a        35     0     2     1    10
  6.2655048783943446E-01 a        36     0     2     1    11
 -5.0209299183184442E-01 a        37     0     2     1    12
 -6.1243023185123524E-01 a        38     0     2     1    13
 -7.9106615389479317E-04 a        39     0     2     1    14
 -9.1342929899286485E-01 a        40     0     2     1    15
 -2.5545288448899145E-01 a        41     0     2     1    16
 -1.5273580931611166E+00 a        42     0     2     1    17
  4.3023007446252653E-01 a        43     0     2     1    18
  4.9489772654756831E-01 a        44     0     2     1    19
  2.3689665629646192E-01 a        45     0     2     1    20
 -1.2060031152787423E+00 a        46     0     2     1    21
  1.4854291846265191E+00 a        47     0     2     1    22
 -2.5725436250364658E-01 a        48     0     2     1    23
 -9.9501361535215371E-01 a        49     0     2     1    24
  1.3193835892580313E-02 a        50     0     2     1    25
 -9.7911466787197499E-01 a        51     0     3     1     1
  8.1600705736050028E-01 a        52     0     3     1     2
  3.6568306957595548E-01 a        53     0     3     1     3
  1.8129608852324869E-01 a        54     0     3     1     4
 -8.7631397246523690E-01 a        55     0     3     1     5
 -1.9798961827503636E-01 a        56     0     3     1     6
  7.6449659945582793E-01 a        57     0     3     1     7
  1.1155543874214544E+00 a        58     0     3     1     8
 -5.4414597298818468E-01 a        59     0     3     1     9
 -2.7883628825759948E-01 a        60     0     3     1    10
  2.3687254519178885E-01 a        61     0     3     1    11
 -3.3710772784630492E-02 a        62     0     3     1    12
 -3.1030070237085927E-01 a        63     0     3     1    13
  4.9893657405998315E-01 a        64     0     3     1    14
 -4.9655088327066116E-01 a        65     0     3     1    15
