################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  2.4282946310436934E-01 a       117     0     5     1    17
 -5.6304692896249120E-01 a       118     0     5     1    18
  8.5679673598160222E-01 a       119     0     5     1    19
  8.2190078634159044E-02 a       120     0     5     1    20
  5.7163059522053861E-02 a       121     0     5     1    21
  1.5015254578380550E-02 a       122     0     5     1    22
  2.0858051025408361E-01 a       123     0     5     1    23
  6.5391552208133918E-01 a       124     0     5     1    24
 -1.0368553184411552E-01 a       125     0     5     1    25
 -4.2753940937922247E-01 a       126     0     6     1     1
  1.2552263449219858E-01 a       127     0     6     1     2
 -6.2437719602069697E-01 a       128     0     6     1     3
 -1.1882490779234797E-01 a       129     0     6     1     4
 -6.1527524219168050E-01 a       130     0     6     1     5
  5.9129881076193880E-01 a       131     0     6     1     6
 -3.3205712845897012E-01 a       132     0     6     1     7
 -4.5387189300805020E-01 a       133     0     6     1     8
  2.4048997508357089E-01 a       134     0     6     1     9
  2.7462429389539206E-01 a       135     0     6     1    10
 -8.1071244197358561E-01 a       136     0     6     1    11
 -2.7340743387086552E-01 a       137     0     6     1    12
  1.4877441894547212E+00 a       138     0     6     1    13
 -1.0947256789633363E-01 a       139     0     6     1    14
 -1.1760344080923094E-01 a       140     0     6     1    15
 -2.1792725245990383E-01 a       141     0     6     1    16
 -2.9123540299587081E-01 a       142     0     6     1    17
  9.9824109701897451E-02 a       143     0     6     1    18
  1.8229541801480803E-01 a       144     0     6     1    19
 -1.8523386401332009E-01 a       145     0     6     1    20
  5.7941533319532910E-03 a       146     0     6     1    21
