################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  8.7168032524017036E+00 a       117     0     5     1    17
  5.8535419598495979E+00 a       118     0     5     1    18
 -1.6263547710088865E+01 a       119     0     5     1    19
  8.7385932155811368E+00 a       120     0     5     1    20
  2.8919568090779425E+01 a       121     0     5     1    21
  6.0535631808544013E+00 a       122     0     5     1    22
  5.4766572596142051E+00 a       123     0     5     1    23
  2.9613918169144156E+00 a       124     0     5     1    24
 -4.4725934008760504E+00 a       125     0     5     1    25
 -3.1285115240858663E+00 a       126     0     6     1     1
 -1.7874680177664107E+01 a       127     0     6     1     2
  9.7164044311676712E+00 a       128     0     6     1     3
 -7.4972791138198875E+00 a       129     0     6     1     4
 -2.4337580090458612E+01 a       130     0     6     1     5
  5.5548114618429612E+00 a       131     0     6     1     6
 -4.7904530774373653E+00 a       132     0     6     1     7
 -9.5760536699702268E+00 a       133     0     6     1     8
 -8.1978886385400127E+00 a       134     0     6     1     9
 -3.6798790710972412E+01 a       135     0     6     1    10
  1.9662136920525807E+01 a       136     0     6     1    11
 -1.9545540367222647E+00 a       137     0     6     1    12
 -2.7343754109728455E+00 a       138     0     6     1    13
  1.1475448658195797E+01 a       139     0     6     1    14
  8.9370894418489879E+00 a       140     0     6     1    15
 -1.0327561988252265E+01 a       141     0     6     1    16
  9.8869930676772704E+00 a       142     0     6     1    17
 -2.7687647358031057E+01 a       143     0     6     1    18
 -9.0396454435987172E-01 a       144     0     6     1    19
 -6.5886173834707868E+00 a       145     0     6     1    20
 -7.7209843010566974E+00 a       146     0     6     1    21
  3.6810007546661247E+01 a       147     0     6     1    22
  1.1778084538695138E+01 a       148     0     6     1    23
  9.8340713855243127E+00 a       149     0     6     1    24
 -8.4736835970032907E+00 a       150     0     6     1    25
  7.8427686892905344E+00 a       151     0     7     1     1
  2.1440368731709857E+01 a       152     0     7     1     2
  6.5278017939414923E+00 a       153     0     7     1     3
  9.2885054912771334E+00 a       154     0     7     1     4
 -1.5356054637376760E+01 a       155     0     7     1     5
 -4.0156607394048907E+00 a       156     0     7     1     6
  1.0967307827144660E+01 a       157     0     7     1     7
  1.3352199543182744E+01 a       158     0     7     1     8
  6.3797088519692000E+00 a       159     0     7     1     9
  1.6974041390809852E+01 a       160     0     7     1    10
 -2.2508764294923559E+01 a       161     0     7     1    11
  1.0765646775171161E+01 a       162     0     7     1    12
 -8.2767031230193151E+00 a       163     0     7     1    13
