LAMMPS data file via write_data, version 11 Aug 2017, timestep = 4000000

8640 atoms
2 atom types

-3.2819324253026849e-01 4.5250693242527888e+01 xlo xhi
-3.4106819274526146e-01 4.7025868192729938e+01 ylo yhi
-3.2156223769001357e-01 4.4336422237685404e+01 zlo zhi
0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 xy xz yz

Masses

1 1.00794
2 15.9994

Atoms # atomic

3791 1 1.6008666373327329e+00 -4.9126005439609932e-02 2.5055609599106323e+00 -2 0 2
8571 1 1.9526752437770063e+00 8.0292814103758570e-01 2.4000828179486722e-01 0 3 0
3790 2 1.1178391832328887e+00 1.5515453925548139e-01 3.3841161516446476e+00 -2 0 2
8570 1 3.3204838069660298e+00 1.2797530996917250e-01 4.8199032657161134e-01 0 3 0
3643 2 2.3226130647484529e+00 2.9114842240804601e+00 2.9779959101728890e+00 1 0 0
8569 2 2.7196266572829577e+00 8.2992287659823982e-01 8.3148665117339071e-01 0 3 0
3792 1 1.1279293032586206e+00 1.1286834145070108e+00 3.4879293545790904e+00 -2 0 2
3644 1 2.5829235677481077e+00 2.6596195935451457e+00 2.0450920325305986e+00 1 0 0
2839 2 1.1732257634842524e-01 1.8891526949140256e+00 -1.6627610215656008e-02 1 0 2
1277 1 4.4430810556611080e+00 3.2355357958943554e+00 4.1337751747822509e+00 3 -3 1
2841 1 -1.6216128249735967e-01 2.2070409723013085e+00 8.9311784996396582e-01 1 0 2
3888 1 8.1972737457188072e-01 3.0840146587628579e+00 6.5837350094436413e+00 -1 0 1
1844 1 -2.4701800857062756e-01 3.0493236212766410e+00 8.9427805291639118e+00 2 0 0
2359 2 3.3387991665555545e+00 2.0160126155632812e+00 9.4365037141395423e+00 0 0 -2
6535 2 9.8469083060522933e-01 -5.4845309086806460e-02 7.4918810751485179e+00 1 -1 1
2875 2 5.1162855595342878e+00 1.1248525090341861e+00 6.8999885543230892e+00 0 2 0
2360 1 3.4358229798221638e+00 1.5481424646636084e+00 8.5516514625290885e+00 0 0 -2
1845 1 3.4263625931358077e-01 2.7517154882724273e+00 1.0358938962036662e+01 2 0 0
2361 1 4.2438257264102521e+00 2.3384150687752761e+00 9.4325204152901598e+00 0 0 -2
3887 1 1.8733756587121786e-01 1.7039526123530035e+00 6.9490012096920148e+00 -1 0 1
3886 2 -2.2642640722228047e-02 2.6948254664417335e+00 6.7398388397755005e+00 -1 0 1
1843 2 -2.9047839515697721e-01 3.3700749370637855e+00 9.8692555174822800e+00 2 0 0
4389 1 4.7639686566741855e+00 -2.7906450625957407e-01 5.6006777021312395e+00 -3 1 0
2709 1 3.1108338452562854e+00 1.8689110501446335e+00 1.4805959512348442e+01 -2 1 3
7006 2 1.6383988883290872e+00 1.5424466467358098e+00 1.1444818116848193e+01 2 -2 0
7007 1 1.8914485385893385e+00 1.6977448505166683e+00 1.2392447819900616e+01 2 -2 0
3899 1 5.2639786340544725e-02 6.3430149349255127e-01 1.1719254324870558e+01 0 -2 2
