     -0.6316681204 a         1     0     1     1     1
     -0.2815261391 a         2     0     1     1     2
      1.1464894015 a         3     0     1     1     3
     -0.0361489503 a         4     0     1     1     4
      0.3455879445 a         5     0     1     1     5
      0.7253195946 a         6     0     1     1     6
      1.3590955916 a         7     0     1     1     7
     -0.2720938223 a         8     0     1     1     8
      0.8503829948 a         9     0     1     1     9
     -0.1178047738 a        10     0     1     1    10
     -0.0541138795 a        11     0     1     1    11
      0.1516583937 a        12     0     1     1    12
     -0.7383029850 a        13     0     1     1    13
      1.0340878100 a        14     0     1     1    14
     -1.0164361840 a        15     0     1     1    15
      0.3291873083 a        16     0     1     1    16
      0.5381799624 a        17     0     1     1    17
      0.2730603377 a        18     0     1     1    18
      0.0698227202 a        19     0     1     1    19
     -0.2359984281 a        20     0     1     1    20
      0.7748579242 a        21     0     1     1    21
      0.0991091607 a        22     0     1     1    22
     -0.3433635406 a        23     0     1     1    23
     -0.3328013486 a        24     0     1     1    24
      0.3088941938 a        25     0     1     1    25
      0.4622824568 a        26     0     2     1     1
      1.1590547068 a        27     0     2     1     2
     -0.5324727807 a        28     0     2     1     3
     -0.8008130174 a        29     0     2     1     4
     -0.1652161638 a        30     0     2     1     5
     -0.0134614315 a        31     0     2     1     6
     -0.7322286775 a        32     0     2     1     7
     -0.2303559591 a        33     0     2     1     8
     -1.4991232481 a        34     0     2     1     9
      0.3811006999 a        35     0     2     1    10
      0.1160183075 a        36     0     2     1    11
      0.0508016636 a        37     0     2     1    12
      1.0781577017 a        38     0     2     1    13
     -0.6840857623 a        39     0     2     1    14
      1.1030163087 a        40     0     2     1    15
      0.0599194709 a        41     0     2     1    16
     -0.5611110649 a        42     0     2     1    17
      0.2188453065 a        43     0     2     1    18
      0.8265280120 a        44     0     2     1    19
      0.3463163519 a        45     0     2     1    20
     -0.3769504346 a        46     0     2     1    21
     -0.1109006705 a        47     0     2     1    22
     -0.3605213610 a        48     0     2     1    23
      0.2868229849 a        49     0     2     1    24
      0.6634799222 a        50     0     2     1    25
      0.9596269507 a        51     0     3     1     1
     -0.7304634005 a        52     0     3     1     2
     -0.0486344616 a        53     0     3     1     3
     -0.2199486437 a        54     0     3     1     4
     -0.4329715110 a        55     0     3     1     5
      0.5371686058 a        56     0     3     1     6
      1.0637540064 a        57     0     3     1     7
      0.0161652787 a        58     0     3     1     8
     -0.5423915082 a        59     0     3     1     9
      0.7413618861 a        60     0     3     1    10
     -0.1619347851 a        61     0     3     1    11
     -0.1776625468 a        62     0     3     1    12
      0.2645923737 a        63     0     3     1    13
      0.5575640590 a        64     0     3     1    14
      0.6650538455 a        65     0     3     1    15
      0.1414725164 a        66     0     3     1    16
      0.6537745786 a        67     0     3     1    17
      0.3180016662 a        68     0     3     1    18
     -0.5412592613 a        69     0     3     1    19
      0.0219195583 a        70     0     3     1    20
      0.7956608939 a        71     0     3     1    21
     -0.7480469845 a        72     0     3     1    22
      0.1929147009 a        73     0     3     1    23
      0.0517233538 a        74     0     3     1    24
      0.1518690805 a        75     0     3     1    25
     -0.7288590283 a        76     0     4     1     1
     -0.9635624174 a        77     0     4     1     2
      0.1526482001 a        78     0     4     1     3
      1.7265071778 a        79     0     4     1     4
      0.7940120325 a        80     0     4     1     5
     -0.4877895462 a        81     0     4     1     6
     -1.2536862223 a        82     0     4     1     7
      0.5949467231 a        83     0     4     1     8
      1.5490354315 a        84     0     4     1     9
     -1.3437428781 a        85     0     4     1    10
      0.1052050033 a        86     0     4     1    11
     -0.0804003708 a        87     0     4     1    12
      0.3241921703 a        88     0     4     1    13
      0.4392583043 a        89     0     4     1    14
     -0.2363292071 a        90     0     4     1    15
     -0.2253380698 a        91     0     4     1    16
      0.0551779848 a        92     0     4     1    17
     -0.0499230375 a        93     0     4     1    18
      0.3275960379 a        94     0     4     1    19
      0.2812975007 a        95     0     4     1    20
      0.7456509587 a        96     0     4     1    21
      1.2585076719 a        97     0     4     1    22
     -0.1387699063 a        98     0     4     1    23
      0.4224438429 a        99     0     4     1    24
     -0.3279866402 a       100     0     4     1    25
      0.8360302097 a       101     0     5     1     1
      0.2286665613 a       102     0     5     1     2
     -0.2364332920 a       103     0     5     1     3
      1.1812858345 a       104     0     5     1     4
      0.3708284305 a       105     0     5     1     5
      0.3917296689 a       106     0     5     1     6
     -0.0571136791 a       107     0     5     1     7
     -0.0333222877 a       108     0     5     1     8
     -0.2097091700 a       109     0     5     1     9
     -0.0846385268 a       110     0     5     1    10
     -0.0953278796 a       111     0     5     1    11
     -0.7841101043 a       112     0     5     1    12
      0.3099131431 a       113     0     5     1    13
     -0.2436713227 a       114     0     5     1    14
      0.2271674630 a       115     0     5     1    15
      0.5885019307 a       116     0     5     1    16
     -0.5029794655 a       117     0     5     1    17
      0.0606243027 a       118     0     5     1    18
     -0.7630313827 a       119     0     5     1    19
      0.5766781659 a       120     0     5     1    20
      0.5304331021 a       121     0     5     1    21
     -0.6958517150 a       122     0     5     1    22
     -0.5397676975 a       123     0     5     1    23
     -0.1353135928 a       124     0     5     1    24
      0.0619052464 a       125     0     5     1    25
      0.0345471901 a       126     0     6     1     1
      1.5635690529 a       127     0     6     1     2
     -0.1387942206 a       128     0     6     1     3
     -1.6988325519 a       129     0     6     1     4
     -1.0019687262 a       130     0     6     1     5
     -1.1236458188 a       131     0     6     1     6
      1.2117635880 a       132     0     6     1     7
     -0.5082603157 a       133     0     6     1     8
     -0.0946622093 a       134     0     6     1     9
      0.8289747040 a       135     0     6     1    10
      0.6706286577 a       136     0     6     1    11
      1.1608279779 a       137     0     6     1    12
      0.9930186293 a       138     0     6     1    13
