     -0.7927042964 a         1     0     1     1     1
     -0.1198851087 a         2     0     1     1     2
      0.0543859814 a         3     0     1     1     3
     -0.3213507434 a         4     0     1     1     4
      0.9947283385 a         5     0     1     1     5
     -0.0507052725 a         6     0     1     1     6
      0.4930137902 a         7     0     1     1     7
      0.2457216581 a         8     0     1     1     8
      0.0396945776 a         9     0     1     1     9
     -0.3667600593 a        10     0     1     1    10
      0.9819342066 a        11     0     1     1    11
     -2.5033297964 a        12     0     1     1    12
      0.3533671770 a        13     0     1     1    13
      0.8870651689 a        14     0     1     1    14
      0.1737131510 a        15     0     1     1    15
      0.1049435511 a        16     0     1     1    16
      0.5760697997 a        17     0     1     1    17
     -0.2746380133 a        18     0     1     1    18
      0.4084822814 a        19     0     1     1    19
     -0.8083742258 a        20     0     1     1    20
      0.5689492255 a        21     0     1     1    21
     -0.6570389681 a        22     0     1     1    22
     -0.3716654558 a        23     0     1     1    23
     -0.4148131510 a        24     0     1     1    24
      0.4598726276 a        25     0     1     1    25
      0.4859783886 a        26     0     2     1     1
      1.2194427348 a        27     0     2     1     2
      0.2355409692 a        28     0     2     1     3
     -0.3086853275 a        29     0     2     1     4
      0.1801875651 a        30     0     2     1     5
      1.2896742747 a        31     0     2     1     6
     -0.1950039289 a        32     0     2     1     7
     -0.6481744819 a        33     0     2     1     8
     -0.5515452193 a        34     0     2     1     9
      0.6860688691 a        35     0     2     1    10
     -0.4669602217 a        36     0     2     1    11
      2.3893080188 a        37     0     2     1    12
      0.4220726777 a        38     0     2     1    13
     -0.3084783109 a        39     0     2     1    14
     -0.5397392775 a        40     0     2     1    15
     -0.0861465591 a        41     0     2     1    16
     -0.7317585970 a        42     0     2     1    17
      0.9087828216 a        43     0     2     1    18
      0.0865205926 a        44     0     2     1    19
      1.0878175778 a        45     0     2     1    20
      0.1834980475 a        46     0     2     1    21
      0.1189143167 a        47     0     2     1    22
     -0.9158509039 a        48     0     2     1    23
     -0.3101482477 a        49     0     2     1    24
     -0.0137187960 a        50     0     2     1    25
      1.1182741670 a        51     0     3     1     1
     -0.4888691766 a        52     0     3     1     2
     -0.1086332442 a        53     0     3     1     3
     -0.5134586014 a        54     0     3     1     4
     -0.0057520752 a        55     0     3     1     5
      0.3066541236 a        56     0     3     1     6
     -0.0484807758 a        57     0     3     1     7
      0.2401205472 a        58     0     3     1     8
     -0.4227675745 a        59     0     3     1     9
      1.3328495997 a        60     0     3     1    10
     -0.5334636802 a        61     0     3     1    11
     -0.5992628199 a        62     0     3     1    12
      0.8085682112 a        63     0     3     1    13
      0.6180749319 a        64     0     3     1    14
      0.8070953921 a        65     0     3     1    15
     -0.5343615213 a        66     0     3     1    16
      0.7746093862 a        67     0     3     1    17
      0.2386220441 a        68     0     3     1    18
      0.1311285270 a        69     0     3     1    19
     -0.5274542195 a        70     0     3     1    20
      0.0941941293 a        71     0     3     1    21
     -1.1202931848 a        72     0     3     1    22
     -0.0366228741 a        73     0     3     1    23
     -0.9374963344 a        74     0     3     1    24
      0.4278816870 a        75     0     3     1    25
     -0.7899269540 a        76     0     4     1     1
     -0.6017377688 a        77     0     4     1     2
     -0.2498374130 a        78     0     4     1     3
      0.9758741056 a        79     0     4     1     4
     -0.7068788322 a        80     0     4     1     5
     -0.8080729000 a        81     0     4     1     6
     -0.1247618761 a        82     0     4     1     7
      1.3526545225 a        83     0     4     1     8
      0.7160966974 a        84     0     4     1     9
     -1.7837306363 a        85     0     4     1    10
      0.1657587375 a        86     0     4     1    11
     -0.3906728957 a        87     0     4     1    12
     -0.2876561351 a        88     0     4     1    13
      0.5172738962 a        89     0     4     1    14
      0.3957786185 a        90     0     4     1    15
     -0.2757012873 a        91     0     4     1    16
     -1.1671968770 a        92     0     4     1    17
      0.4498673301 a        93     0     4     1    18
      0.3219881887 a        94     0     4     1    19
      1.1560311040 a        95     0     4     1    20
      1.0517279568 a        96     0     4     1    21
      1.5859444628 a        97     0     4     1    22
      0.6165257833 a        98     0     4     1    23
      0.9164424251 a        99     0     4     1    24
     -0.1549103257 a       100     0     4     1    25
      0.8878136706 a       101     0     5     1     1
      0.6683308831 a       102     0     5     1     2
      0.2636251772 a       103     0     5     1     3
      1.3024585424 a       104     0     5     1     4
      0.8710929943 a       105     0     5     1     5
      0.3952247481 a       106     0     5     1     6
      0.1457163533 a       107     0     5     1     7
      0.7240498810 a       108     0     5     1     8
      0.3110870745 a       109     0     5     1     9
     -0.2709461896 a       110     0     5     1    10
     -0.5897391255 a       111     0     5     1    11
     -0.1703513206 a       112     0     5     1    12
      0.0579817736 a       113     0     5     1    13
      0.3112226622 a       114     0     5     1    14
     -0.6628970923 a       115     0     5     1    15
      0.1630320864 a       116     0     5     1    16
     -0.7253338104 a       117     0     5     1    17
      0.1226940252 a       118     0     5     1    18
     -0.3876895305 a       119     0     5     1    19
      0.2146577119 a       120     0     5     1    20
     -0.1806449014 a       121     0     5     1    21
     -0.6439938396 a       122     0     5     1    22
     -0.4296771354 a       123     0     5     1    23
     -0.1156607880 a       124     0     5     1    24
      0.3903568325 a       125     0     5     1    25
     -0.3028891873 a       126     0     6     1     1
     -0.8329314284 a       127     0     6     1     2
      0.8506980855 a       128     0     6     1     3
     -1.6895212572 a       129     0     6     1     4
     -1.4546910921 a       130     0     6     1     5
     -1.0894395769 a       131     0     6     1     6
     -0.6978770245 a       132     0     6     1     7
     -0.3523398542 a       133     0     6     1     8
     -0.1313112867 a       134     0     6     1     9
      1.5117762774 a       135     0     6     1    10
      0.0267964310 a       136     0     6     1    11
      1.4263493593 a       137     0     6     1    12
      1.2091063301 a       138     0     6     1    13
      0.0348753715 a       139     0     6     1    14
      0.3699989564 a       140     0     6     1    15
     -0.0069224822 a       141     0     6     1    16
      1.6788783580 a       142     0     6     1    17
     -0.5572515265 a       143     0     6     1    18
      0.7130554672 a       144     0     6     1    19
      0.0229312689 a       145     0     6     1    20
     -0.7751561912 a       146     0     6     1    21
      0.5640449208 a       147     0     6     1    22
      0.2943062733 a       148     0     6     1    23
     -0.5124900099 a       149     0     6     1    24
     -0.5888956181 a       150     0     6     1    25
     -0.4897411297 a       151     0     7     1     1
      0.1655134237 a       152     0     7     1     2
      0.5755404586 a       153     0     7     1     3
     -0.3279181156 a       154     0     7     1     4
     -0.3664511641 a       155     0     7     1     5
      0.0389093563 a       156     0     7     1     6
      0.2228809011 a       157     0     7     1     7
     -0.0976622814 a       158     0     7     1     8
      0.8774557366 a       159     0     7     1     9
     -0.3252636084 a       160     0     7     1    10
     -0.2534172404 a       161     0     7     1    11
     -0.6120407871 a       162     0     7     1    12
     -0.8342011375 a       163     0     7     1    13
     -0.5331254676 a       164     0     7     1    14
     -0.9676023806 a       165     0     7     1    15
     -0.1971531211 a       166     0     7     1    16
     -0.0568500479 a       167     0     7     1    17
     -0.4769489515 a       168     0     7     1    18
      0.0565736417 a       169     0     7     1    19
     -0.0592142467 a       170     0     7     1    20
     -0.4207124839 a       171     0     7     1    21
      0.1306203361 a       172     0     7     1    22
     -0.2332214410 a       173     0     7     1    23
      0.6143925720 a       174     0     7     1    24
      0.2377992593 a       175     0     7     1    25
      1.4634490719 a       176     0     8     1     1
      1.7269671302 a       177     0     8     1     2
      0.6387920155 a       178     0     8     1     3
      1.5421154504 a       179     0     8     1     4
      1.4099032448 a       180     0     8     1     5
     -0.7264449033 a       181     0     8     1     6
      0.4691643687 a       182     0     8     1     7
     -0.4840883213 a       183     0     8     1     8
     -0.5423218633 a       184     0     8     1     9
     -0.1180396293 a       185     0     8     1    10
      1.2161661752 a       186     0     8     1    11
      0.1583151175 a       187     0     8     1    12
      0.0493063615 a       188     0     8     1    13
     -1.0670567955 a       189     0     8     1    14
     -1.8917611535 a       190     0     8     1    15
      1.2372326769 a       191     0     8     1    16
      0.0716974137 a       192     0     8     1    17
      0.2629331870 a       193     0     8     1    18
     -0.0425632922 a       194     0     8     1    19
     -0.5293580787 a       195     0     8     1    20
      0.2732681603 a       196     0     8     1    21
      0.7006842738 a       197     0     8     1    22
      0.6106458255 a       198     0     8     1    23
      0.3065360079 a       199     0     8     1    24
     -0.2470710237 a       200     0     8     1    25
     -0.2523112443 a       201     0     9     1     1
      0.2481308575 a       202     0     9     1     2
      0.1067027955 a       203     0     9     1     3
     -0.6794974050 a       204     0     9     1     4
     -0.1570087574 a       205     0     9     1     5
     -0.3178171509 a       206     0     9     1     6
      0.4859749807 a       207     0     9     1     7
     -0.0916223242 a       208     0     9     1     8
     -0.3016891362 a       209     0     9     1     9
      0.6398773076 a       210     0     9     1    10
      1.6146046368 a       211     0     9     1    11
     -0.2397785633 a       212     0     9     1    12
      0.2913166899 a       213     0     9     1    13
      0.0293704528 a       214     0     9     1    14
      0.9098015197 a       215     0     9     1    15
     -0.6503842351 a       216     0     9     1    16
      0.0801479314 a       217     0     9     1    17
     -1.0027059156 a       218     0     9     1    18
     -0.3032344087 a       219     0     9     1    19
      0.4139363457 a       220     0     9     1    20
      0.4541887757 a       221     0     9     1    21
     -0.3028059387 a       222     0     9     1    22
      0.3453855069 a       223     0     9     1    23
      0.2625000742 a       224     0     9     1    24
     -0.5570046276 a       225     0     9     1    25
     -0.3341891580 a       226     0    10     1     1
     -0.8981080090 a       227     0    10     1     2
     -0.4970817242 a       228     0    10     1     3
     -0.8176242492 a       229     0    10     1     4
     -0.5873574389 a       230     0    10     1     5
      0.0873349430 a       231     0    10     1     6
      0.0460716860 a       232     0    10     1     7
     -0.4798602688 a       233     0    10     1     8
      0.7378510948 a       234     0    10     1     9
     -0.3045135261 a       235     0    10     1    10
     -0.6871213139 a       236     0    10     1    11
      0.4444536785 a       237     0    10     1    12
     -0.5605641786 a       238     0    10     1    13
      1.0048609711 a       239     0    10     1    14
      0.1260912757 a       240     0    10     1    15
     -0.3131920614 a       241     0    10     1    16
     -0.1575053013 a       242     0    10     1    17
     -0.1988370548 a       243     0    10     1    18
      0.0226714430 a       244     0    10     1    19
     -0.0421445223 a       245     0    10     1    20
      0.2104944416 a       246     0    10     1    21
     -0.4887856415 a       247     0    10     1    22
      0.0928974853 a       248     0    10     1    23
      0.4852408372 a       249     0    10     1    24
      0.5316027614 a       250     0    10     1    25
      0.8712129426 a       251     0    11     1     1
     -0.0385374969 a       252     0    11     1     2
      0.2317986471 a       253     0    11     1     3
      1.0440397432 a       254     0    11     1     4
     -0.7425166281 a       255     0    11     1     5
      0.3591282660 a       256     0    11     1     6
      0.2442716998 a       257     0    11     1     7
      0.4412792424 a       258     0    11     1     8
