################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  2.1403985985822938E+00 a       117     0     5     1    17
  2.7779036863945872E-01 a       118     0     5     1    18
 -2.9996254051595863E+00 a       119     0     5     1    19
 -3.3842515391272281E+00 a       120     0     5     1    20
 -5.3379214596119260E+00 a       121     0     5     1    21
 -1.9817419047697455E+00 a       122     0     5     1    22
 -1.6726908270652059E+00 a       123     0     5     1    23
 -6.8556070871757424E-01 a       124     0     5     1    24
 -2.6142771202482811E+00 a       125     0     5     1    25
  1.2259423853446638E+00 a       126     0     6     1     1
 -3.3394907579456745E-01 a       127     0     6     1     2
  7.0880818803740619E-01 a       128     0     6     1     3
  1.7666631896846139E+00 a       129     0     6     1     4
  1.8355136403565278E+00 a       130     0     6     1     5
 -4.8623229625847975E-01 a       131     0     6     1     6
  4.9653634068105418E-01 a       132     0     6     1     7
 -6.0359238857950592E-01 a       133     0     6     1     8
  9.1810801996011204E-01 a       134     0     6     1     9
  1.6854477406661306E+00 a       135     0     6     1    10
  4.9418968882985015E-01 a       136     0     6     1    11
 -3.2675024782229021E+00 a       137     0     6     1    12
  1.1399565063123112E+00 a       138     0     6     1    13
  1.4998674747796750E+00 a       139     0     6     1    14
  5.2978287848528494E-01 a       140     0     6     1    15
  2.1264030434087960E-01 a       141     0     6     1    16
 -2.9555371696446975E-01 a       142     0     6     1    17
  1.3892481175900235E+00 a       143     0     6     1    18
 -1.8904848855771703E-01 a       144     0     6     1    19
  4.7200678300320503E-01 a       145     0     6     1    20
  2.2951627198092424E+00 a       146     0     6     1    21
  1.0946505322833169E+00 a       147     0     6     1    22
 -1.0486222160093548E+00 a       148     0     6     1    23
 -6.1341141372558450E-01 a       149     0     6     1    24
  4.1037519088469276E-01 a       150     0     6     1    25
  5.7581129827271060E-01 a       151     0     7     1     1
 -1.4179307877998559E+00 a       152     0     7     1     2
 -1.9653000433073284E+00 a       153     0     7     1     3
 -2.3286820920099810E-01 a       154     0     7     1     4
  2.0836337836196188E+00 a       155     0     7     1     5
 -4.4582845471313820E-01 a       156     0     7     1     6
 -2.3377083089113473E+00 a       157     0     7     1     7
 -3.6643640174046543E-01 a       158     0     7     1     8
  4.6784911178417268E+00 a       159     0     7     1     9
  3.3022553293757512E-01 a       160     0     7     1    10
 -1.2959385768968392E+00 a       161     0     7     1    11
  5.8499791887073926E-01 a       162     0     7     1    12
  1.1531291281898310E+00 a       163     0     7     1    13
 -2.3054239228455762E+00 a       164     0     7     1    14
  3.5247398928248069E-01 a       165     0     7     1    15
  1.6146837084281047E+00 a       166     0     7     1    16
  2.1203472491305080E+00 a       167     0     7     1    17
 -1.8361957578663717E+00 a       168     0     7     1    18
 -1.2340931627757279E-01 a       169     0     7     1    19
 -2.7461865270306909E+00 a       170     0     7     1    20
 -1.9189369712374460E+00 a       171     0     7     1    21
  3.3180021245116675E+00 a       172     0     7     1    22
 -4.4281524647448239E-01 a       173     0     7     1    23
  2.6549921115541699E+00 a       174     0     7     1    24
 -1.7328749320819510E+00 a       175     0     7     1    25
  5.8066234918825999E-01 a       176     0     8     1     1
 -2.9916388302819075E-01 a       177     0     8     1     2
  1.0762660131515738E+00 a       178     0     8     1     3
  1.5814866457341863E+00 a       179     0     8     1     4
  1.0966557619637038E+00 a       180     0     8     1     5
