################################################################################
# Energy contributions calculated from NNP.
################################################################################
# Col  Name      Description
################################################################################
# 1    index     Atom index.
# 2    e         Element of atom.
# 3    charge    Atomic charge (not used).
# 4    Ennp_atom Atomic energy contribution (physical units, no mean or offset energy added).
################################################################################
#        1  2                3                4
#    index  e           charge        Ennp_atom
###############################################
       128  H   0.00000000E+00  -9.60991237E-03
       129  O   0.00000000E+00   1.81271359E-02
       130  H   0.00000000E+00  -1.04952544E-02
       131  H   0.00000000E+00  -8.75181926E-03
       132  O   0.00000000E+00   1.81497362E-03
       133  H   0.00000000E+00  -3.00026254E-03
       134  H   0.00000000E+00  -7.91099421E-03
       135  O   0.00000000E+00   8.64094759E-03
       136  H   0.00000000E+00  -6.51077871E-03
       137  H   0.00000000E+00  -1.11251990E-02
       138  O   0.00000000E+00   1.49960177E-02
       139  H   0.00000000E+00  -7.13828949E-03
       140  H   0.00000000E+00  -7.48110100E-03
       141  O   0.00000000E+00   3.94964529E-03
       142  H   0.00000000E+00  -5.25721968E-03
       143  H   0.00000000E+00  -1.21218535E-02
       144  O   0.00000000E+00  -3.49465395E-04
       145  H   0.00000000E+00  -3.09189312E-03
       146  H   0.00000000E+00  -3.76321749E-03
       147  O   0.00000000E+00   4.42034208E-03
       148  H   0.00000000E+00  -3.01300130E-03
       149  H   0.00000000E+00  -9.18440135E-03
       150  O   0.00000000E+00   1.34342708E-02
       151  H   0.00000000E+00  -4.02495007E-03
       152  H   0.00000000E+00  -5.36068253E-03
       153  O   0.00000000E+00   1.84718630E-03
       154  H   0.00000000E+00  -3.38586190E-04
       155  H   0.00000000E+00  -9.95562858E-03
       156  O   0.00000000E+00   7.83507172E-03
       157  H   0.00000000E+00  -5.39111526E-03
       158  H   0.00000000E+00  -2.50134114E-03
       159  O   0.00000000E+00   6.36463848E-03
       160  H   0.00000000E+00  -1.00112664E-02
       161  H   0.00000000E+00  -6.32067602E-03
       162  O   0.00000000E+00  -1.32681922E-03
       163  H   0.00000000E+00  -8.06133148E-03
       164  H   0.00000000E+00  -4.85116326E-03
       165  O   0.00000000E+00   1.35496997E-02
       166  H   0.00000000E+00  -7.86700863E-03
       167  H   0.00000000E+00  -1.03461351E-02
       168  O   0.00000000E+00   1.63581556E-02
       169  H   0.00000000E+00  -5.48809106E-03
       170  H   0.00000000E+00  -4.98749129E-03
