################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -5.3635858095047553E+00 a         1     0     1     1     1
  1.3441005979509107E+01 a         2     0     1     1     2
  2.2276685558767415E+00 a         3     0     1     1     3
 -1.7916455715873038E+01 a         4     0     1     1     4
  1.1059533904557046E+00 a         5     0     1     1     5
  1.3750341731979658E+01 a         6     0     1     1     6
 -2.2885860800062073E+01 a         7     0     1     1     7
  6.5420981165931460E+00 a         8     0     1     1     8
  5.1487774921415846E-02 a         9     0     1     1     9
  4.9510952398612629E+00 a        10     0     1     1    10
 -6.0435296509025447E+00 a        11     0     1     1    11
 -4.6704570482316967E+00 a        12     0     1     1    12
  3.6951629269619772E+00 a        13     0     1     1    13
 -3.1023840971824130E+00 a        14     0     1     1    14
  3.9973850461434584E+00 a        15     0     1     1    15
 -5.8646084040037616E-01 a        16     0     1     1    16
  2.6962717614467828E+00 a        17     0     1     1    17
 -7.6413452121324541E+00 a        18     0     1     1    18
 -1.0603927553385135E+00 a        19     0     1     1    19
  2.6685417898377199E+01 a        20     0     1     1    20
  9.4976655743302025E+00 a        21     0     1     1    21
  1.5175199727683101E+01 a        22     0     1     1    22
 -6.7256483694253832E+00 a        23     0     1     1    23
 -7.6470743968117576E+00 a        24     0     1     1    24
 -1.3145876468614007E+01 a        25     0     1     1    25
 -2.8538538184060989E+00 a        26     0     2     1     1
 -1.3423877794139491E+01 a        27     0     2     1     2
  7.3072775296299906E+00 a        28     0     2     1     3
  1.6803938602922447E+01 a        29     0     2     1     4
  5.4398340727554952E+00 a        30     0     2     1     5
 -3.1765842356668261E-01 a        31     0     2     1     6
  2.0848786483216330E+01 a        32     0     2     1     7
 -1.2165897975839208E+00 a        33     0     2     1     8
  5.3417326949303154E+00 a        34     0     2     1     9
 -3.9566885093863419E-01 a        35     0     2     1    10
 -1.5100301551684656E-01 a        36     0     2     1    11
 -6.8447917201654107E+00 a        37     0     2     1    12
 -9.3002996623845169E-01 a        38     0     2     1    13
 -8.7134875699264587E+00 a        39     0     2     1    14
 -3.0228199335216771E-01 a        40     0     2     1    15
 -5.1799237276145922E+00 a        41     0     2     1    16
  1.6018986685096934E+00 a        42     0     2     1    17
  6.6649889044652788E+00 a        43     0     2     1    18
  3.9212830592959458E+00 a        44     0     2     1    19
 -3.7572739544423769E+01 a        45     0     2     1    20
 -1.0725963372724053E+01 a        46     0     2     1    21
 -1.2085627259181415E+01 a        47     0     2     1    22
  4.6701393101239685E-01 a        48     0     2     1    23
  1.7838978089985074E+00 a        49     0     2     1    24
 -1.5838368912388352E+00 a        50     0     2     1    25
  1.6300207520678487E+00 a        51     0     3     1     1
 -1.9170723303245737E+01 a        52     0     3     1     2
 -7.6223653776121187E+00 a        53     0     3     1     3
  2.5265073832062683E+01 a        54     0     3     1     4
  3.2426236789385214E+00 a        55     0     3     1     5
 -2.0283938543529491E+01 a        56     0     3     1     6
  2.5031592314962776E+01 a        57     0     3     1     7
 -1.4351584066631505E+01 a        58     0     3     1     8
 -5.7766266684683263E+00 a        59     0     3     1     9
 -8.3809541122310378E+00 a        60     0     3     1    10
  1.3439679470310848E+01 a        61     0     3     1    11
  1.6741525367515347E+01 a        62     0     3     1    12
 -4.7324152354517830E+00 a        63     0     3     1    13
  7.3505382214973833E+00 a        64     0     3     1    14
 -9.3307885497504230E+00 a        65     0     3     1    15
 -1.5505961147643050E+00 a        66     0     3     1    16
 -1.5998416871682966E+01 a        67     0     3     1    17
  1.9447499216172854E+01 a        68     0     3     1    18
  4.6157210085146505E-01 a        69     0     3     1    19
 -3.0050212165762240E+01 a        70     0     3     1    20
 -9.3291039096926500E+00 a        71     0     3     1    21
 -1.7318133704878704E+01 a        72     0     3     1    22
  1.0261439795850638E+01 a        73     0     3     1    23
  8.7998556251026958E+00 a        74     0     3     1    24
  2.0790231387775492E+01 a        75     0     3     1    25
  9.9067886768836360E+00 a        76     0     4     1     1
  1.7661784007641209E+01 a        77     0     4     1     2
 -1.0741581297715470E+01 a        78     0     4     1     3
 -2.6635469704498885E+01 a        79     0     4     1     4
 -5.9882416453413692E+00 a        80     0     4     1     5
 -7.7208254335967270E+00 a        81     0     4     1     6
 -2.2228317245544467E+01 a        82     0     4     1     7
  8.3079820821444752E+00 a        83     0     4     1     8
 -1.0730984776307759E+01 a        84     0     4     1     9
  7.1203857976631951E-02 a        85     0     4     1    10
  5.5619163328151142E+00 a        86     0     4     1    11
  8.3851978714022923E+00 a        87     0     4     1    12
 -2.3818023310162877E+00 a        88     0     4     1    13
  1.9609687166908845E+01 a        89     0     4     1    14
  4.3426033349605220E+00 a        90     0     4     1    15
  1.3962380441510001E+01 a        91     0     4     1    16
  1.5532029482513376E+00 a        92     0     4     1    17
 -1.8044875990172464E+01 a        93     0     4     1    18
 -1.4783563880222156E+01 a        94     0     4     1    19
