################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  8.8007181890239696E+00 a         1     0     1     1     1
  7.3308306202561839E+00 a         2     0     1     1     2
 -8.4945101010747628E+00 a         3     0     1     1     3
  8.2355218276776365E-01 a         4     0     1     1     4
  2.5831854850786131E+00 a         5     0     1     1     5
 -6.3619413400795963E+00 a         6     0     1     1     6
  1.3939309317818589E+00 a         7     0     1     1     7
  1.2279791968682868E+01 a         8     0     1     1     8
  3.7943671207490368E+00 a         9     0     1     1     9
 -1.3094047874856554E+00 a        10     0     1     1    10
  1.9049648599315724E+01 a        11     0     1     1    11
 -6.8031134899285384E+00 a        12     0     1     1    12
 -3.8698277395211056E+00 a        13     0     1     1    13
 -8.4070780887733221E-01 a        14     0     1     1    14
  1.5094910123673297E+00 a        15     0     1     1    15
  7.0841836025680811E+00 a        16     0     1     1    16
 -5.1416122661516974E+00 a        17     0     1     1    17
  6.8426122551106143E+00 a        18     0     1     1    18
  1.1090049732147655E+01 a        19     0     1     1    19
 -1.9274084371727959E-01 a        20     0     1     1    20
 -8.6543974459237116E+00 a        21     0     1     1    21
 -4.0150318228364492E+00 a        22     0     1     1    22
 -1.6693881042605476E+01 a        23     0     1     1    23
 -2.7348184888879081E+00 a        24     0     1     1    24
  8.5660041007003755E+00 a        25     0     1     1    25
  6.7240406728851987E+00 a        26     0     2     1     1
 -7.1464770412876701E+00 a        27     0     2     1     2
  1.3447504966362191E+01 a        28     0     2     1     3
 -2.9602909722671638E+00 a        29     0     2     1     4
 -6.2659826631985291E+00 a        30     0     2     1     5
 -1.2077824194042666E+01 a        31     0     2     1     6
  1.2799305001309060E+01 a        32     0     2     1     7
 -4.0485909936506532E+00 a        33     0     2     1     8
 -2.9966701782048779E+00 a        34     0     2     1     9
  7.5638486798113282E+00 a        35     0     2     1    10
 -1.0737994119191731E+01 a        36     0     2     1    11
  1.3577041111248251E+01 a        37     0     2     1    12
  4.6624331816703011E+00 a        38     0     2     1    13
  1.0486826476396480E+01 a        39     0     2     1    14
 -5.8044374797253591E+00 a        40     0     2     1    15
 -2.3104971126789469E+01 a        41     0     2     1    16
  1.1228491617973228E+01 a        42     0     2     1    17
  2.3859965148163070E+01 a        43     0     2     1    18
 -1.2267817853039936E+01 a        44     0     2     1    19
  5.0312619123650837E+00 a        45     0     2     1    20
  1.5624381824565530E+01 a        46     0     2     1    21
 -3.9276462144548345E+00 a        47     0     2     1    22
  2.7341891118452843E+01 a        48     0     2     1    23
 -6.0650868706078862E+00 a        49     0     2     1    24
 -2.8014734896346694E+00 a        50     0     2     1    25
 -1.8297760137250556E+01 a        51     0     3     1     1
 -7.5021245812161075E+00 a        52     0     3     1     2
  1.0156408844772917E+01 a        53     0     3     1     3
 -6.2693993688272984E+00 a        54     0     3     1     4
 -1.1909733548896571E+00 a        55     0     3     1     5
  8.0608690204260061E+00 a        56     0     3     1     6
 -9.3395745138069710E+00 a        57     0     3     1     7
 -8.6857364192561786E+00 a        58     0     3     1     8
 -5.0593268770055866E-01 a        59     0     3     1     9
  3.8465810618254670E+00 a        60     0     3     1    10
 -2.9149983851154946E+01 a        61     0     3     1    11
 -3.0117818922922077E+00 a        62     0     3     1    12
  9.6341356010384640E+00 a        63     0     3     1    13
 -1.9263604586732259E+00 a        64     0     3     1    14
  6.0878732536700564E-01 a        65     0     3     1    15
  1.5597207116213030E+00 a        66     0     3     1    16
  1.0850428220689162E+01 a        67     0     3     1    17
 -2.5813339518643396E+01 a        68     0     3     1    18
 -1.5585245925263779E+01 a        69     0     3     1    19
  3.0290851193828785E+00 a        70     0     3     1    20
  7.6699500910144396E+00 a        71     0     3     1    21
  4.3858452400979537E+00 a        72     0     3     1    22
  7.7733792643460298E+00 a        73     0     3     1    23
  1.2784864213323353E+01 a        74     0     3     1    24
 -1.2677626870246263E+01 a        75     0     3     1    25
 -2.1265081714128002E+01 a        76     0     4     1     1
  1.2406036954099429E+01 a        77     0     4     1     2
 -1.9636035632646117E+01 a        78     0     4     1     3
  9.0154517511268093E+00 a        79     0     4     1     4
  1.2358961245982499E+01 a        80     0     4     1     5
  3.0957920126773899E+01 a        81     0     4     1     6
 -1.7970084364664114E+01 a        82     0     4     1     7
 -5.5208808839932093E+00 a        83     0     4     1     8
 -1.7220634598423692E+00 a        84     0     4     1     9
 -1.5166901148458010E+01 a        85     0     4     1    10
  1.2048487480076755E+01 a        86     0     4     1    11
 -1.0163626807991085E+01 a        87     0     4     1    12
 -1.2505721364461966E+01 a        88     0     4     1    13
 -1.5517733456235584E+01 a        89     0     4     1    14
  2.5145149851325215E+00 a        90     0     4     1    15
  3.2548676062325562E+01 a        91     0     4     1    16
 -2.8759020848051517E+01 a        92     0     4     1    17
 -3.4563399659004126E+01 a        93     0     4     1    18
  1.4282708655964305E+01 a        94     0     4     1    19
 -1.2811457875245674E+01 a        95     0     4     1    20
 -2.0347685589882708E+01 a        96     0     4     1    21
  1.0124297027633506E+01 a        97     0     4     1    22
 -3.2516459951066814E+01 a        98     0     4     1    23
 -3.8624706390986843E+00 a        99     0     4     1    24
  2.0734994910669404E+00 a       100     0     4     1    25
  1.0146153878249498E+01 a       101     0     5     1     1
  1.5185507500931557E+01 a       102     0     5     1     2
  2.5434408281912617E+00 a       103     0     5     1     3
  1.0815558102918237E+01 a       104     0     5     1     4
 -5.6936939681547329E+00 a       105     0     5     1     5
 -9.1105283137171096E+00 a       106     0     5     1     6
  1.6798587977383320E+01 a       107     0     5     1     7
  1.5869859197337599E+00 a       108     0     5     1     8
 -1.1040119767005532E+00 a       109     0     5     1     9
 -7.0980322220159522E+00 a       110     0     5     1    10
  2.2265771215051856E+01 a       111     0     5     1    11
  1.3158725628803271E+01 a       112     0     5     1    12
 -9.5369219512260575E+00 a       113     0     5     1    13
  4.9770816738468859E+00 a       114     0     5     1    14
 -3.2260512922149958E+00 a       115     0     5     1    15
 -1.4341008085255078E+01 a       116     0     5     1    16
 -3.6815394346503743E+00 a       117     0     5     1    17
  3.4846352757484304E+01 a       118     0     5     1    18
  1.4263546752390624E+01 a       119     0     5     1    19
  2.7427373070432934E+00 a       120     0     5     1    20
 -9.3282522227082918E+00 a       121     0     5     1    21
  8.7612895847613592E-01 a       122     0     5     1    22
 -6.5546328716602709E-01 a       123     0     5     1    23
 -4.4156123658765836E+00 a       124     0     5     1    24
  2.1493619723056021E+00 a       125     0     5     1    25
  3.0451627245050627E+01 a       126     0     6     1     1
 -1.7069728735197238E+01 a       127     0     6     1     2
  6.2095633544353195E+00 a       128     0     6     1     3
  6.0746272666616662E-02 a       129     0     6     1     4
 -6.0815719488376319E+00 a       130     0     6     1     5
 -3.0114648051061049E+01 a       131     0     6     1     6
 -2.8586645492496956E+00 a       132     0     6     1     7
  1.1768887977614130E+01 a       133     0     6     1     8
  9.1369913165008487E+00 a       134     0     6     1     9
  9.1213031965756137E+00 a       135     0     6     1    10
 -7.4628996881517846E+00 a       136     0     6     1    11
 -6.7245284482840688E+00 a       137     0     6     1    12
  1.1151460199726920E+01 a       138     0     6     1    13
 -1.9261452657011484E+00 a       139     0     6     1    14
  1.2885443085135202E+01 a       140     0     6     1    15
 -1.2525223084158309E+01 a       141     0     6     1    16
  3.9642160212032671E+01 a       142     0     6     1    17
  1.2067252328866127E+01 a       143     0     6     1    18
 -2.4698892035053732E+00 a       144     0     6     1    19
  1.3436838479133501E+01 a       145     0     6     1    20
  7.2278731132112153E+00 a       146     0     6     1    21
