################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.0950399039241400E-01 a         1     0     1     1     1
  7.4641760222162290E-02 a         2     0     1     1     2
 -3.2541467624161613E-01 a         3     0     1     1     3
 -5.7244394295382549E-02 a         4     0     1     1     4
 -6.5036794704525724E-02 a         5     0     1     1     5
  3.2477440902351601E-01 a         6     0     1     1     6
 -3.1702589768777023E-01 a         7     0     1     1     7
 -1.5322427311374692E-01 a         8     0     1     1     8
  5.7305266422058493E-02 a         9     0     1     1     9
  2.9333067944988139E-01 a        10     0     1     1    10
  3.2283350405797079E-01 a        11     0     1     1    11
  3.1518275210097790E-01 a        12     0     1     1    12
 -8.6503739557458936E-02 a        13     0     1     1    13
  1.9625479358392053E-01 a        14     0     1     1    14
 -1.3472576158286265E-01 a        15     0     1     1    15
 -3.0952183272077527E-01 a        16     0     2     1     1
  2.5817580433909460E-02 a        17     0     2     1     2
  2.2600588214518177E-01 a        18     0     2     1     3
 -3.7219581248914640E-02 a        19     0     2     1     4
  1.5274667282287924E-01 a        20     0     2     1     5
 -1.5163894500187647E-01 a        21     0     2     1     6
  3.6671188836887039E-02 a        22     0     2     1     7
  9.8295727525339799E-02 a        23     0     2     1     8
 -2.4481796868072786E-01 a        24     0     2     1     9
  6.4326561060687418E-02 a        25     0     2     1    10
 -3.5182217668938581E-01 a        26     0     2     1    11
  6.9821813220474635E-02 a        27     0     2     1    12
 -2.7771567865684854E-01 a        28     0     2     1    13
  2.7248067117799230E-01 a        29     0     2     1    14
 -1.6295861092950309E-01 a        30     0     2     1    15
  3.2166121055183350E-01 a        31     0     3     1     1
  1.2689355610529404E-02 a        32     0     3     1     2
 -1.2083238667858234E-02 a        33     0     3     1     3
 -1.8063768423373303E-01 a        34     0     3     1     4
  1.5037746632999355E-01 a        35     0     3     1     5
  2.7696722703880888E-01 a        36     0     3     1     6
 -3.7426961017491300E-01 a        37     0     3     1     7
  7.9964994308298745E-02 a        38     0     3     1     8
 -1.3587054435301074E-01 a        39     0     3     1     9
  2.5741917356982325E-01 a        40     0     3     1    10
  3.4882744969051283E-01 a        41     0     3     1    11
  2.8097696478503303E-01 a        42     0     3     1    12
 -1.5713051542550588E-01 a        43     0     3     1    13
 -3.4027821819142290E-01 a        44     0     3     1    14
  1.1906984734089378E-01 a        45     0     3     1    15
 -3.2705278220740330E-01 a        46     0     4     1     1
  6.9192995470601648E-02 a        47     0     4     1     2
 -2.9864563484092566E-01 a        48     0     4     1     3
 -1.5530442437334877E-01 a        49     0     4     1     4
 -3.3903051664409106E-01 a        50     0     4     1     5
 -1.7334554818490111E-01 a        51     0     4     1     6
 -1.0960728949980769E-02 a        52     0     4     1     7
  6.8253466501361493E-02 a        53     0     4     1     8
  3.5493171496310399E-01 a        54     0     4     1     9
  1.1598186265875865E-01 a        55     0     4     1    10
  2.6951505279105781E-01 a        56     0     4     1    11
  5.2042146723811508E-02 a        57     0     4     1    12
 -1.6842817115832617E-01 a        58     0     4     1    13
  8.2916929204799650E-02 a        59     0     4     1    14
  2.8025031407891349E-01 a        60     0     4     1    15
 -1.3641950411275480E-01 a        61     0     5     1     1
 -3.6162207392717886E-03 a        62     0     5     1     2
  3.2624418789774084E-01 a        63     0     5     1     3
  2.4981678950898764E-01 a        64     0     5     1     4
  1.5650872155885848E-01 a        65     0     5     1     5
 -3.6168816762896155E-01 a        66     0     5     1     6
  3.3669812595455906E-01 a        67     0     5     1     7
 -1.2775286686571558E-01 a        68     0     5     1     8
  1.3684065398406506E-01 a        69     0     5     1     9
 -2.0987252821837360E-01 a        70     0     5     1    10
  2.3082824467706817E-01 a        71     0     5     1    11
  3.8068589059776864E-01 a        72     0     5     1    12
 -1.1128398757698812E-01 a        73     0     5     1    13
  5.4049039370401581E-03 a        74     0     5     1    14
  3.6755256061814151E-02 a        75     0     5     1    15
 -1.4404654142857057E-01 a        76     0     6     1     1
  2.0745317970268690E-01 a        77     0     6     1     2
 -3.0986829953299339E-01 a        78     0     6     1     3
 -7.1711084015490728E-02 a        79     0     6     1     4
 -6.7032951499460799E-02 a        80     0     6     1     5
 -1.9405830922153380E-01 a        81     0     6     1     6
 -1.3665367048021518E-01 a        82     0     6     1     7
  6.5754468419182879E-02 a        83     0     6     1     8
  2.4553027231418886E-01 a        84     0     6     1     9
 -1.4586156702258604E-01 a        85     0     6     1    10
 -3.3914463053755750E-01 a        86     0     6     1    11
  1.0300021555948362E-01 a        87     0     6     1    12
  2.7624495060377791E-01 a        88     0     6     1    13
  6.8006285163544053E-02 a        89     0     6     1    14
  1.0968552628124406E-01 a        90     0     6     1    15
  8.2175679525670897E-02 a        91     0     7     1     1
  1.3528622761770953E-01 a        92     0     7     1     2
  2.5976546094211378E-01 a        93     0     7     1     3
 -7.7141328498695677E-02 a        94     0     7     1     4
  1.3911181168405012E-01 a        95     0     7     1     5
 -1.1350914512861138E-01 a        96     0     7     1     6
  1.7281474590890372E-01 a        97     0     7     1     7
  2.4330254696813083E-01 a        98     0     7     1     8
 -1.9161375407139938E-01 a        99     0     7     1     9
  1.0179452068763527E-01 a       100     0     7     1    10
  1.6560036570034922E-01 a       101     0     7     1    11
  3.5165537662955276E-01 a       102     0     7     1    12
  2.6266961689162643E-01 a       103     0     7     1    13
 -3.0207859188765523E-01 a       104     0     7     1    14
 -8.6489537116596446E-02 a       105     0     7     1    15
 -4.8355797935000645E-02 a       106     0     8     1     1
 -2.2208253132008776E-01 a       107     0     8     1     2
  1.0534437938809342E-01 a       108     0     8     1     3
 -1.7341311638814241E-01 a       109     0     8     1     4
  1.5131743258603461E-01 a       110     0     8     1     5
 -2.3160344959428986E-01 a       111     0     8     1     6
 -3.1397440004148924E-01 a       112     0     8     1     7
  1.4135200979824575E-01 a       113     0     8     1     8
  3.2357635493679604E-01 a       114     0     8     1     9
  2.5408991926514779E-01 a       115     0     8     1    10
 -3.7405326371884379E-01 a       116     0     8     1    11
 -2.8902354231328742E-01 a       117     0     8     1    12
 -1.9033433579224596E-01 a       118     0     8     1    13
 -3.3778050456847057E-02 a       119     0     8     1    14
  2.6776518681948852E-01 a       120     0     8     1    15
 -1.0174346744871217E-01 a       121     0     9     1     1
  2.4106885995504190E-01 a       122     0     9     1     2
  3.7979873062582292E-01 a       123     0     9     1     3
  3.5283057061223261E-01 a       124     0     9     1     4
 -3.5820370147082425E-01 a       125     0     9     1     5
 -2.2841377187606476E-01 a       126     0     9     1     6
 -3.0718762710786646E-01 a       127     0     9     1     7
  6.9761028377379478E-02 a       128     0     9     1     8
  3.8152764545911316E-01 a       129     0     9     1     9
  8.4043746355196167E-02 a       130     0     9     1    10
 -2.8037980875177254E-01 a       131     0     9     1    11
  1.1831471541804391E-01 a       132     0     9     1    12
 -8.8505185762347630E-03 a       133     0     9     1    13
  3.3502385070298929E-01 a       134     0     9     1    14
 -1.9721970503348529E-01 a       135     0     9     1    15
 -2.7766980514304701E-01 a       136     0    10     1     1
  3.4259568159392806E-01 a       137     0    10     1     2
 -2.4831061519050121E-01 a       138     0    10     1     3
  3.5116159475991371E-01 a       139     0    10     1     4
  1.9205487711551433E-01 a       140     0    10     1     5
  2.0577710182072101E-01 a       141     0    10     1     6
 -6.2420307135051652E-02 a       142     0    10     1     7
 -1.9292279704927906E-01 a       143     0    10     1     8
  1.6145608923726129E-01 a       144     0    10     1     9
  1.3134769797476786E-01 a       145     0    10     1    10
 -2.6625620238644510E-01 a       146     0    10     1    11
 -3.6838936283898233E-01 a       147     0    10     1    12
 -8.2432820795619283E-02 a       148     0    10     1    13
  2.1608319770848806E-02 a       149     0    10     1    14
  9.7449982968754373E-02 a       150     0    10     1    15
 -2.3682657934512463E-01 a       151     0    11     1     1
  1.0329810454192766E-01 a       152     0    11     1     2
  2.9591986598909215E-01 a       153     0    11     1     3
  1.8927115127328381E-01 a       154     0    11     1     4
 -2.8848466553618013E-01 a       155     0    11     1     5
  7.2601242263550192E-02 a       156     0    11     1     6
  1.2247507855496109E-01 a       157     0    11     1     7
  3.6455118117853114E-01 a       158     0    11     1     8
  2.2207298104827553E-01 a       159     0    11     1     9
 -6.5684801767120715E-02 a       160     0    11     1    10
 -6.2611066252779611E-03 a       161     0    11     1    11
  1.2512589035019669E-01 a       162     0    11     1    12
 -2.8529881374296390E-01 a       163     0    11     1    13
  2.8305363341001705E-01 a       164     0    11     1    14
 -3.3370001676743538E-01 a       165     0    11     1    15
 -3.5541465020947835E-02 a       166     0    12     1     1
  1.3597093779277594E-01 a       167     0    12     1     2
  3.7242498024825887E-01 a       168     0    12     1     3
 -3.1688944186464618E-01 a       169     0    12     1     4
 -1.2827846119218067E-01 a       170     0    12     1     5
 -3.0597605379696469E-01 a       171     0    12     1     6
 -6.9116907498878360E-02 a       172     0    12     1     7
 -8.7762543494919187E-02 a       173     0    12     1     8
  2.8503341556835822E-02 a       174     0    12     1     9
 -2.3224339855779794E-01 a       175     0    12     1    10
 -7.4454468462767306E-02 a       176     0    12     1    11
  1.3024837649543122E-01 a       177     0    12     1    12
  1.4796908915722065E-01 a       178     0    12     1    13
  3.1287826392512913E-01 a       179     0    12     1    14
 -3.7984451387061319E-01 a       180     0    12     1    15
 -7.4613309503685415E-02 a       181     0    13     1     1
 -1.4391302322709976E-01 a       182     0    13     1     2
 -1.7708174063426424E-01 a       183     0    13     1     3
 -1.0000537012808575E-01 a       184     0    13     1     4
  3.0638009142251366E-01 a       185     0    13     1     5
  1.2085226467692683E-01 a       186     0    13     1     6
 -1.3297793205487429E-01 a       187     0    13     1     7
 -1.2728020667895881E-01 a       188     0    13     1     8
 -2.1193790575995150E-01 a       189     0    13     1     9
  2.9792804212546969E-01 a       190     0    13     1    10
  1.9743525439794404E-01 a       191     0    13     1    11
  3.5888132595644184E-01 a       192     0    13     1    12
  2.0129855928766519E-01 a       193     0    13     1    13
  1.2611921989232477E-01 a       194     0    13     1    14
  3.1099242921306725E-01 a       195     0    13     1    15
  1.0419788050124307E-01 a       196     0    14     1     1
  3.4059134980459127E-01 a       197     0    14     1     2
  8.5045583492333061E-03 a       198     0    14     1     3
 -4.3770754001496576E-02 a       199     0    14     1     4
 -3.7732910196662035E-02 a       200     0    14     1     5
 -2.7272227277600103E-01 a       201     0    14     1     6
  1.6176260780363760E-01 a       202     0    14     1     7
 -2.1687460784354420E-01 a       203     0    14     1     8
 -4.1402070219909454E-03 a       204     0    14     1     9
