  5.5544244876230682E+00 a         1     0     1     1     1
 -2.1992615440617556E+00 a         2     0     1     1     2
  3.1189523145243070E-01 a         3     0     1     1     3
 -2.7187392008234067E+01 a         4     0     1     1     4
 -2.0640730645285622E+01 a         5     0     1     1     5
 -1.0307909887517919E+01 a         6     0     1     1     6
 -1.8040803410957786E+01 a         7     0     1     1     7
  7.0042660299503625E+00 a         8     0     1     1     8
 -1.0386466263246003E+01 a         9     0     1     1     9
  8.4769477854693829E+00 a        10     0     1     1    10
  3.5757714889757736E+01 a        11     0     1     1    11
 -1.9111551477515881E+01 a        12     0     1     1    12
 -1.5836057256598510E+00 a        13     0     1     1    13
  4.1170233513448116E+00 a        14     0     1     1    14
  4.1606088685623606E+00 a        15     0     1     1    15
 -2.8438975489548863E+01 a        16     0     1     1    16
  8.7515281313120532E+00 a        17     0     1     1    17
  1.8064173014270683E+01 a        18     0     1     1    18
  1.1944977207353084E+01 a        19     0     1     1    19
 -1.7333030637470497E+01 a        20     0     1     1    20
  1.4329443755973843E+01 a        21     0     1     1    21
  1.2074694103970284E+01 a        22     0     1     1    22
  4.1114343579745380E+00 a        23     0     1     1    23
 -1.4255373240098106E+00 a        24     0     1     1    24
  6.0022003439799247E+00 a        25     0     1     1    25
 -3.1293754852068687E+01 a        26     0     2     1     1
  4.9899536044478188E+00 a        27     0     2     1     2
  1.2007200257067506E+01 a        28     0     2     1     3
  8.8982937640245545E+00 a        29     0     2     1     4
  3.2355450390647258E+00 a        30     0     2     1     5
 -3.2852160688009108E-01 a        31     0     2     1     6
  3.4454833652000481E+01 a        32     0     2     1     7
 -5.4862200218794417E+00 a        33     0     2     1     8
 -1.1967801363702293E+01 a        34     0     2     1     9
 -3.8143800479813315E+01 a        35     0     2     1    10
 -2.1379903586027300E+00 a        36     0     2     1    11
  9.1674068719911599E+00 a        37     0     2     1    12
 -5.6826908019414768E+00 a        38     0     2     1    13
  1.6239852510537869E+01 a        39     0     2     1    14
  2.7779814621423846E+01 a        40     0     2     1    15
  3.4883170168480781E+01 a        41     0     2     1    16
 -4.2374012123572093E+00 a        42     0     2     1    17
 -1.1893119954294258E+01 a        43     0     2     1    18
 -2.2922640907718851E+01 a        44     0     2     1    19
 -3.0408145781545994E+00 a        45     0     2     1    20
 -1.4494938842127080E+01 a        46     0     2     1    21
 -2.7081686744854796E+01 a        47     0     2     1    22
  1.2243169306574478E+01 a        48     0     2     1    23
  4.0100815221862636E+00 a        49     0     2     1    24
  3.1874030638787868E+01 a        50     0     2     1    25
 -3.2765994700235637E+00 a        51     0     3     1     1
 -7.6331713417854730E-01 a        52     0     3     1     2
 -2.7525475373162891E+00 a        53     0     3     1     3
  4.9619340754280792E+01 a        54     0     3     1     4
  3.9856745126147935E+01 a        55     0     3     1     5
  1.4746632601484977E+01 a        56     0     3     1     6
  1.2876368192908750E+01 a        57     0     3     1     7
 -7.5317128546074157E+00 a        58     0     3     1     8
  2.4620307003468845E+01 a        59     0     3     1     9
 -9.4944672547165219E+00 a        60     0     3     1    10
 -7.1216791412491304E+01 a        61     0     3     1    11
  3.8818192128643354E+01 a        62     0     3     1    12
  9.2937278839720463E+00 a        63     0     3     1    13
 -1.2185448673364913E+01 a        64     0     3     1    14
 -2.8205711558585712E+01 a        65     0     3     1    15
  5.4079821104969049E+01 a        66     0     3     1    16
 -9.5678681859606947E+00 a        67     0     3     1    17
 -2.9241041880120218E+01 a        68     0     3     1    18
 -3.3016742367127570E+01 a        69     0     3     1    19
  3.5727947090678228E+01 a        70     0     3     1    20
 -3.2136967810914783E+01 a        71     0     3     1    21
 -1.9515659484995044E+01 a        72     0     3     1    22
 -9.7759631021403006E+00 a        73     0     3     1    23
  4.6172101011563553E+00 a        74     0     3     1    24
 -7.8992142753429979E+00 a        75     0     3     1    25
  4.7783441375923907E+01 a        76     0     4     1     1
  7.3145570408380793E+00 a        77     0     4     1     2
 -2.1991924111508908E+01 a        78     0     4     1     3
 -1.8030031067652157E+01 a        79     0     4     1     4
 -4.7607866734492248E+00 a        80     0     4     1     5
  2.9231303607173925E-01 a        81     0     4     1     6
 -5.1377691290171725E+01 a        82     0     4     1     7
 -8.8187162108024530E-01 a        83     0     4     1     8
  2.3752148941386807E+01 a        84     0     4     1     9
  6.6599493521858349E+01 a        85     0     4     1    10
  9.7226531356944577E+00 a        86     0     4     1    11
 -1.5715553837494941E+01 a        87     0     4     1    12
  2.0428670199333052E-01 a        88     0     4     1    13
 -2.8374838244358749E+01 a        89     0     4     1    14
 -4.4922732827149638E+01 a        90     0     4     1    15
 -6.5881007677007034E+01 a        91     0     4     1    16
 -2.0330548759697106E+01 a        92     0     4     1    17
 -1.8736266767995331E+00 a        93     0     4     1    18
  4.6178444758510246E+01 a        94     0     4     1    19
 -2.6518590926328245E-01 a        95     0     4     1    20
  2.1658123575932901E+01 a        96     0     4     1    21
  4.8940707456877242E+01 a        97     0     4     1    22
 -7.1291079202978178E+00 a        98     0     4     1    23
 -1.2971638575556080E+01 a        99     0     4     1    24
 -7.3354197803080808E+01 a       100     0     4     1    25
  8.0956553263210616E+00 a       101     0     5     1     1
