################################################################################
# Atomic force comparison (ordered by atom index).
################################################################################
# Col  Name  Description
################################################################################
# 1    conf  Configuration index (starting with 1).
# 2    index Atom index (starting with 1).
# 3    fxRef Reference force in x direction.
# 4    fyRef Reference force in y direction.
# 5    fzRef Reference force in z direction.
# 6    fx    Force in x direction.
# 7    fy    Force in y direction.
# 8    fz    Force in z direction.
###########################################################################################################################################################################
#        1          2                        3                        4                        5                        6                        7                        8
#     conf      index                    fxRef                    fyRef                    fzRef                       fx                       fy                       fz
###########################################################################################################################################################################
         1         35   3.7970831682999999E-03  -6.3408931789000001E-03  -7.8798399309000008E-03   4.2595253420321172E-03  -5.5329007880406643E-03  -6.0519509229830558E-03
         1         36  -2.4948861758000000E-03  -7.5442135624000000E-03   1.0956968603000000E-02  -2.6084045359307789E-03  -7.3794837842423577E-03   9.7461179609197417E-03
         1         37  -3.1145522209000001E-03   4.7039978879999996E-03  -9.5377403838999997E-03  -4.9288972164472419E-03   4.8916238063115951E-03  -7.6622962960155817E-03
         1         38   4.0226856181999997E-03  -1.0833243234000000E-03   7.0920793159000000E-03   2.7824475314454579E-03  -2.7842140498153246E-04   5.8569318584886735E-03
         1         39   8.2987266746000002E-03   5.1601950376999996E-03   1.3653884030999999E-02   8.9862208164343885E-03   5.4236504228766785E-03   1.5334072321950533E-02
         1         40  -1.1939707021000000E-03   3.5132870513999997E-04  -1.7099589602000000E-02  -2.7356006005930704E-03   4.1767428694590019E-04  -1.7200595555746663E-02
         1         41   3.1101976031999998E-03  -4.7262982395000000E-03  -8.3170798198000002E-03   2.7582092338177492E-03  -4.2746351626013132E-03  -8.6956020907604618E-03
         1         42   3.7845103628000002E-03   5.8571539813999998E-03   6.9679588563000003E-03   4.1924977330919750E-03   5.8197652898045902E-03   6.8762769104935640E-03
         1         43  -3.1239594303999999E-03   4.1799787804000000E-04   9.7581195600000004E-03  -2.2411775491088773E-03  -6.9244011007197986E-04   1.1403655003559809E-02
         1         44   4.5954450281999997E-03  -3.2823725103000002E-03  -7.8829159998000005E-03   3.7783797470744042E-03  -2.2954590000296032E-03  -9.7604783931719962E-03
         1         45  -4.1993310164999999E-03  -4.5241656508000000E-03  -9.8132859280999993E-04  -4.8939713726353831E-03  -3.1543763840786378E-03  -1.3121658463306270E-03
         1         46  -1.1989515676000000E-02   1.2992190124000000E-02  -4.1340044841999997E-03  -1.1928203105001750E-02   1.2608751454290489E-02  -4.1668901815038557E-03
         1         47   9.1904512527000003E-03   8.0531063373999994E-03  -4.3266832980000001E-03   9.6810687603713641E-03   7.6664731835917954E-03  -5.1152191005215822E-03
         1         48  -8.9551899583000005E-04  -1.2966259170000001E-03   1.1905612996999999E-02  -2.4646733810450151E-03  -1.4274662615619913E-03   9.1729645453983398E-03
         1         49   4.5971562539999997E-03   2.1902624151000001E-03  -9.8381440608000005E-03   6.3498886488569392E-03   2.3305644162682549E-03  -7.8907351525532993E-03
         1         50  -1.8118615688000001E-03   4.3394088545999996E-03   1.8180132199000000E-03  -2.7807620501785362E-03   5.3751203874875452E-03   2.0043017112146913E-04
         1         51   3.2875388793999999E-03  -1.8092081345000000E-03   1.0919704275999999E-02   3.2478530475370023E-03  -1.3791529622587874E-03   1.0608084715888666E-02
         1         52  -6.5282823296999998E-03  -1.9398922850000000E-05  -7.6593529797000003E-03  -6.6633741398287091E-03   9.8220245243043963E-06  -6.5329372132655727E-03
         1         53  -6.9332970704999997E-03   2.1950535252999999E-03  -1.1109486024000000E-02  -6.8605110923418873E-03   2.0969492354322521E-03  -1.1532494043857823E-02
         1         54   6.2200847315000002E-03  -2.1695478470999999E-03   1.4204631174000001E-02   6.1463357570624294E-03  -2.0502323418726902E-03   1.5424933506413961E-02
         1         55   5.3782896637000000E-03   2.2777776459000001E-03   2.4895982322999999E-02   5.5024976205931110E-03   2.0142868541980514E-03   2.5961402001303688E-02
         1         56  -9.4849000381000003E-04   1.9614202195000000E-03  -1.0185315242000000E-02  -1.0764181013486059E-03   2.0115639040056070E-03  -1.0999263880240502E-02
         1         57   2.0843440952999998E-03   5.4869365378000003E-03   1.3686507699000001E-02   2.8009902465723365E-03   5.0641288248106835E-03   1.2979912155550204E-02
         1         58   3.0568550054999998E-04  -1.8106929285000000E-03  -1.0374877539000000E-02   6.3395489941314167E-04  -1.5485629355556040E-03  -1.1003840484156931E-02
         1         59  -1.4045906970000001E-04  -5.9452336267000003E-03  -2.4798495008999999E-02   1.0326089098470513E-04  -6.9696780890530566E-03  -2.3736508681792376E-02
         1         60  -1.1433119464000000E-03  -3.5399292035000001E-03   1.3056911106000000E-02  -1.6496390584079086E-03  -3.2378575017581613E-03   1.2450851031378459E-02
         1         61   6.6418467348000002E-03  -1.1775122827999999E-03   3.1477360113999998E-03   8.3784004786685781E-03  -3.8423253062821430E-04   6.8233089252856165E-03
         1         62   7.2713665229999997E-03  -1.1173914494000001E-02   1.7166732560000000E-03   6.9793109854266273E-03  -1.2349767394294974E-02  -3.2607015600117175E-04
