################################################################################
# Sensitivity analysis for element Cu.
################################################################################
# Col  Name          Description
################################################################################
# 1    index         Symmetry function index.
# 2    sens_msa_norm Mean square average sensitivity (normalized, sum = 100%).
# 3    sens_max_norm Maximum sensitivity (normalized, sum = 100%).
# 4    sens_msa_phys Mean square average sensitivity (physical energy units).
# 5    sens_max_phys Maximum sensitivity (physical energy units).
# 6    sens_msa_int  Mean square average sensitivity (internal units).
# 7    sens_max_int  Maximum sensitivity (internal units).
################################################################################################################
#        1                2                3                4                5                6                7
#    index    sens_msa_norm    sens_max_norm    sens_msa_phys    sens_max_phys     sens_msa_int     sens_max_int
################################################################################################################
        51   2.79089372E+00   3.61552631E+00   5.54284184E-01   1.40891716E+00   4.09565277E+00   1.04106082E+01
        52   1.19834019E+00   1.55174688E+00   2.37995812E-01   6.04692820E-01   1.75857120E+00   4.46812644E+00
        53   1.67999278E+00   1.35841901E+00   3.33654205E-01   5.29355810E-01   2.46539917E+00   3.91145490E+00
        54   7.92396131E-01   1.00183794E+00   1.57373475E-01   3.90401435E-01   1.16284593E+00   2.88470926E+00
        55   2.39094922E-01   4.38423132E-01   4.74853388E-02   1.70847014E-01   3.50873189E-01   1.26240305E+00
        56   1.97752040E+00   1.99139454E+00   3.92744544E-01   7.76017014E-01   2.90202269E+00   5.73405542E+00
        57   1.41722516E+00   1.87846237E+00   2.81467361E-01   7.32009020E-01   2.07978616E+00   5.40887662E+00
        58   1.37910847E+00   1.77540270E+00   2.73897214E-01   6.91848189E-01   2.02384970E+00   5.11212485E+00
        59   4.84192971E-01   6.72082224E-01   9.61629258E-02   2.61900508E-01   7.10556000E-01   1.93520503E+00
        60   5.35948086E-01   7.09772277E-01   1.06441727E-01   2.76587764E-01   7.86506933E-01   2.04373041E+00
        61   6.62575956E-01   5.35142587E-01   1.31590598E-01   2.08537156E-01   9.72334069E-01   1.54089870E+00
        62   8.39225486E-01   7.54698647E-01   1.66673998E-01   2.94094907E-01   1.23156828E+00   2.17309217E+00
        63   3.82629864E-01   5.51341994E-01   7.59920309E-02   2.14849825E-01   5.61511550E-01   1.58754355E+00
        64   5.41462636E-01   5.31819722E-01   1.07536942E-01   2.07242284E-01   7.94599567E-01   1.53133078E+00
        65   4.51391467E-01   4.89432585E-01   8.96483981E-02   1.90724644E-01   6.62419604E-01   1.40928054E+00
        66   4.83446315E-01   4.25182416E-01   9.60146366E-02   1.65687302E-01   7.09460279E-01   1.22427751E+00
